<<<<<<< HEAD
name,business_vintage_years,business_type,city_tier,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,past_defaults,existing_loan_emi,dti,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years,loan_status,approved_amount,interest_rate
Yash Sharma,10,Trading,Rural,44906958,0.046,0.652,32106,857,0,10750,0.335,0.49,43304782,1,10980035,3,1,10011659,12.35
Amit Reddy,14,Manufacturing,Metro,44410778,0.342,0.757,108688,637,0,12142,0.112,0.14,47336686,1,10668039,3,1,9501316,11.51
Kiran Kapoor,9,IT,Urban,39103840,0.345,0.938,114897,621,0,29546,0.257,0.249,5295290,1,3790359,4,1,3403455,11.77
Shruti Yadav,11,Manufacturing,Metro,32280566,0.25,0.766,54680,781,0,15182,0.278,0.501,7741431,1,2327307,7,1,2034014,12.76
Sana Reddy,11,IT,Metro,4664928,0.197,0.322,60307,866,0,12367,0.205,0.288,47236813,1,1048383,4,1,758316,13.63
Sana Patel,14,Retail,Rural,8500621,0.122,0.661,77147,803,0,9422,0.122,0.145,36826761,1,1207826,7,0,0,
Kabir Khan,13,Trading,Rural,44978432,0.289,0.685,78361,754,0,6665,0.085,0.859,44149691,1,7110485,2,1,6131869,13.95
Amit Jain,13,MSME,Metro,30518238,0.246,0.539,86464,756,0,1148,0.013,0.983,10131632,1,1763566,7,1,1453183,14.71
Meera Jain,14,Manufacturing,Metro,955254,0.074,0.789,120255,771,0,14620,0.122,0.814,29379294,1,109753,3,1,81889,14.98
Shruti Yadav,13,Service,Rural,5522841,0.321,0.947,65576,766,0,17133,0.261,0.868,35056980,1,322639,5,1,229295,15.5
Yash Gupta,2,MSME,Rural,33343338,0.291,0.94,50043,737,0,18782,0.375,0.318,34005594,1,8995914,5,1,7504971,12.61
Shruti Reddy,11,Service,Metro,750548,0.333,0.561,35517,726,0,12377,0.348,0.965,20407585,1,83198,10,0,0,
Sana Kapoor,6,Trading,Urban,8459999,0.259,0.291,51727,716,0,15850,0.306,0.277,769745,1,1601768,4,0,0,
Rohan Sharma,3,Service,Metro,27662323,0.222,0.988,69172,675,0,21815,0.315,0.956,29146303,1,1652681,2,1,1422629,14.26
Sarthak Khan,8,Retail,Rural,34748812,0.158,0.871,114864,703,1,30553,0.266,0.995,12655077,1,7530479,1,1,5837145,15.23
Priya Reddy,2,Retail,Metro,32772082,0.328,0.3,57060,618,0,5941,0.104,0.741,22512712,1,4285174,7,1,3300428,14.52
Rohan Khan,4,Retail,Metro,11601331,0.306,0.937,75595,714,0,27432,0.363,0.983,47879051,1,3184331,4,1,2526441,15.02
Anjali Singh,2,IT,Urban,35752871,0.035,0.896,69589,661,0,18670,0.268,0.613,19951766,1,9725837,7,1,8804216,12.79
Mohit Singh,6,Retail,Metro,12243830,0.029,0.615,99710,654,0,22353,0.224,0.334,41990080,1,1607892,3,1,1188792,13.61
Yash Reddy,4,Service,Urban,16607285,0.144,0.673,133173,731,0,5912,0.044,0.493,9427030,1,4570993,3,1,3695454,13.39
Shruti Kapoor,8,Service,Metro,37451325,0.287,0.519,56728,804,0,10144,0.179,0.634,33623025,1,11199422,1,1,9513270,13.41
Sarthak Reddy,6,Service,Metro,32656829,0.346,0.244,57764,775,0,10637,0.184,0.166,48850348,1,8371706,10,1,6802217,12.37
Sana Yadav,1,Trading,Metro,42536559,0.07,0.468,96104,626,0,33235,0.346,0.66,5094655,1,11111308,5,1,8738768,14.12
Ravi Singh,3,MSME,Urban,33051838,0.216,0.842,87047,661,0,19034,0.219,0.983,415997,0,3710141,10,1,2811269,15.37
Priya Yadav,8,Service,Metro,28631276,0.146,0.204,116168,776,0,17676,0.152,0.271,21679140,1,5559495,3,0,0,
Yash Gupta,11,Trading,Urban,5136901,0.34,0.467,84598,661,0,33054,0.391,0.813,4631274,1,343217,5,1,236919,15.54
Suresh Gupta,13,IT,Rural,18701932,0.298,0.519,61018,707,0,2702,0.044,0.917,37419217,1,1378884,5,0,0,
Ravi Kapoor,1,Service,Urban,13627517,0.297,0.63,84766,753,0,14327,0.169,0.949,45727433,1,4084482,3,1,3016987,15.46
Priya Yadav,9,MSME,Metro,12577487,0.175,0.936,97718,662,0,1643,0.017,0.964,21701049,1,1655950,7,1,1382464,14.54
Ritika Yadav,8,Retail,Metro,48664022,0.157,0.477,90512,726,0,26788,0.296,0.569,12935582,1,11535611,10,1,9445236,13.52
Ritika Kapoor,9,Manufacturing,Metro,19958337,0.11,0.478,82682,640,0,30363,0.367,0.98,21720166,1,5022840,7,1,3475207,16.02
Suresh Verma,4,Trading,Metro,44656304,0.039,0.79,96667,684,1,10828,0.112,0.782,36172391,1,11811852,5,1,10862023,13.15
Kiran Gupta,1,Service,Metro,31741362,0.305,0.562,99232,739,0,34070,0.343,0.246,452708,0,9503588,3,1,6944992,13.43
Vivek Singh,3,Trading,Urban,39843160,0.288,0.38,104554,624,0,12221,0.117,0.529,29472699,1,4397654,3,1,3440242,13.76
Suresh Kapoor,11,Trading,Metro,25380536,0.35,0.562,86218,746,0,31410,0.364,0.746,30664584,1,1525058,10,1,1161444,14.62
Sana Sharma,14,Manufacturing,Metro,29056742,0.349,0.313,65822,719,0,19851,0.302,0.323,31884412,1,4439809,1,1,3543054,12.99
Amit Khan,11,Trading,Metro,24879626,0.203,0.341,73668,753,0,23718,0.322,0.677,12101104,1,2053071,5,1,1546991,14.5
Anjali Patel,6,Service,Urban,10164528,0.274,0.599,100163,733,1,721,0.007,0.7,35702636,1,565214,5,1,405741,14.92
Kiran Jain,11,Service,Metro,36261380,0.332,0.535,49577,802,0,19093,0.385,0.246,4569574,1,5080463,5,0,0,
Ravi Patel,12,Service,Urban,14398232,0.3,0.932,79217,728,0,23026,0.291,0.609,9963517,1,3541023,10,1,2726920,14.13
Ritika Verma,7,MSME,Metro,1703640,0.102,0.49,60167,694,0,7334,0.122,0.794,43873502,1,326324,3,1,225758,15.46
Mohit Jain,14,Manufacturing,Rural,32450879,0.169,0.664,70719,727,0,23462,0.332,0.549,36936158,1,4160024,3,1,3424997,13.41
Aaditya Gupta,2,Service,Rural,9266979,0.063,0.706,101961,753,0,11482,0.113,0.111,687278,1,1979292,2,1,1601447,12.24
Mohit Singh,13,IT,Metro,47052700,0.335,0.21,74777,723,0,26105,0.349,0.108,12418813,1,5081905,4,1,3918795,12.61
Rahul Kapoor,0,IT,Metro,47719465,0.22,0.731,71161,722,0,3205,0.045,0.421,10720324,1,2557542,3,1,2376583,11.97
Kiran Khan,3,IT,Metro,45785787,0.095,0.342,36004,678,0,10134,0.281,0.934,13540316,1,11038420,3,1,8737437,14.89
Aaditya Yadav,1,Manufacturing,Metro,18822856,0.242,0.969,88656,680,0,19174,0.216,0.306,12377989,1,3876299,7,1,3345325,12.29
Yash Kapoor,7,Retail,Urban,1265103,0.224,0.319,86137,636,0,3326,0.039,0.671,3126315,1,304353,10,1,209659,15.12
Kabir Singh,3,Retail,Rural,46451769,0.138,0.532,124081,825,0,12006,0.097,0.3,22947026,1,2774773,3,0,0,
Rahul Yadav,1,Trading,Urban,21695115,0.057,0.268,62306,645,0,309,0.005,0.39,36636674,1,5625107,4,1,4314509,13.5
Suresh Gupta,13,Retail,Rural,48349414,0.242,0.997,75479,678,0,14153,0.188,0.863,30336586,1,9905903,10,1,9146629,13.36
Meera Khan,5,Retail,Metro,48199189,0.192,0.602,76235,677,0,9187,0.121,0.756,33643583,1,9198759,2,1,7938779,13.64
Kabir Yadav,5,MSME,Metro,42723968,0.275,0.676,109436,774,0,26193,0.239,0.186,4057459,1,8807696,2,1,7748136,11.76
Meera Singh,9,Manufacturing,Urban,15075220,0.192,0.254,67618,702,0,8039,0.119,0.486,47574536,1,4011641,3,1,3188604,13.51
Kabir Patel,3,MSME,Metro,19562338,0.301,0.8,76976,795,0,9235,0.12,0.126,41924592,1,3848579,5,1,3358097,11.65
Kunal Yadav,5,IT,Urban,42631265,0.202,0.368,85197,680,0,25327,0.297,0.533,40254516,1,8323226,3,1,6806482,13.42
Ravi Patel,12,Trading,Metro,16187639,0.205,0.918,74665,737,0,1438,0.019,0.696,41149190,1,4818571,10,1,3733547,14.34
Kiran Khan,14,Retail,Metro,8889891,0.309,0.364,58839,670,0,21250,0.361,0.207,46635525,1,2126307,4,0,0,
Mohit Verma,1,Manufacturing,Rural,28061662,0.153,0.353,74852,849,0,25517,0.341,0.36,27212698,1,4505958,4,1,3621147,13.04
Sarthak Verma,9,IT,Metro,46839661,0.064,0.229,96841,649,0,25868,0.267,0.458,10014101,1,10625542,3,1,8521557,13.35
Yash Yadav,11,Trading,Rural,34953475,0.029,0.578,44337,739,0,10521,0.237,0.928,30839180,1,5148913,4,1,4003701,15.01
Amit Khan,1,IT,Rural,28718028,0.269,0.652,73324,758,0,26171,0.357,0.994,37144075,1,3079114,5,1,2399465,15.19
Ritika Verma,9,Manufacturing,Urban,5310236,0.225,0.253,52497,745,0,3892,0.074,0.14,36895870,1,1057868,7,1,823064,12.64
Sarthak Khan,13,IT,Urban,30942858,0.252,0.82,99876,709,0,3155,0.032,0.785,26072451,1,8727295,7,1,7460018,13.81
Suresh Khan,3,IT,Urban,49507666,0.09,0.563,31920,712,0,3058,0.096,0.435,3422936,1,13975266,5,1,11752110,12.9
Meera Sharma,13,IT,Rural,7434159,0.065,0.62,56027,723,0,17807,0.318,0.453,18555647,1,1007153,10,1,737607,14.04
Kabir Kapoor,14,IT,Metro,26157318,0.025,0.553,79430,711,0,1102,0.014,0.779,46038330,1,4758523,7,0,0,
Suresh Jain,14,Trading,Urban,43929967,0.136,0.521,109138,778,0,25443,0.233,0.927,29222445,1,4520788,7,1,3675127,14.65
Sana Reddy,7,Service,Urban,37168047,0.215,0.648,68356,853,0,27218,0.398,0.956,26916597,1,11109818,2,0,0,
Ritika Jain,13,Manufacturing,Metro,35002279,0.149,0.324,56120,687,0,19209,0.342,0.619,13442676,1,10335455,1,1,7751942,14.36
Mohit Khan,6,Service,Metro,35272962,0.164,0.346,117029,638,0,24410,0.209,0.421,18422446,1,7491174,3,1,5575074,13.82
Vivek Sharma,11,Manufacturing,Metro,18294812,0.318,0.889,33800,715,0,860,0.025,0.809,44767304,1,4593892,5,1,3677253,14.42
Yash Verma,8,Service,Urban,15032796,0.135,0.957,15030,875,0,4998,0.333,0.326,33323152,1,3439129,4,1,2816709,12.79
Anjali Kapoor,13,Service,Rural,40563377,0.19,0.499,81000,672,0,19407,0.24,0.608,39369351,1,8043294,4,1,5800513,14.61
Sana Reddy,7,Manufacturing,Metro,40600613,0.279,0.417,57449,818,0,2641,0.046,0.423,22717271,1,2571521,7,1,2362371,12.08
Ritika Yadav,4,Retail,Rural,43420080,0.151,0.715,44469,821,0,1669,0.038,0.691,31512361,1,7107480,7,1,6533760,12.88
Meera Kapoor,12,Manufacturing,Urban,45705407,0.225,0.527,87709,687,0,31913,0.364,0.316,12419180,1,9995616,10,1,8256862,12.69
Amit Yadav,1,Trading,Rural,25811449,0.305,0.22,76095,754,0,20369,0.268,0.272,35273042,1,5662591,3,1,4334678,13.16
Aaditya Khan,14,MSME,Urban,25325057,0.333,0.325,55898,818,0,18542,0.332,0.926,21380067,1,3628591,5,1,2571606,15.69
Anjali Jain,4,Manufacturing,Urban,40015611,0.069,0.773,37992,697,1,13358,0.352,0.192,22127276,1,11421376,3,1,10405075,11.47
Meera Jain,7,MSME,Metro,32673215,0.326,0.727,91811,708,0,20998,0.229,0.555,32466116,1,3000684,3,1,2642998,12.86
Yash Khan,9,Service,Rural,35247360,0.182,0.222,86255,685,0,17853,0.207,0.299,46814031,1,6171455,3,1,4866293,13.01
Meera Reddy,8,Retail,Metro,39891737,0.105,0.378,67521,659,0,11625,0.172,0.135,3200317,1,8884727,3,1,7597301,11.85
Aaditya Jain,11,Manufacturing,Rural,44555264,0.172,0.385,116166,681,0,14727,0.127,0.132,41237162,1,9993031,4,1,8526481,11.86
Priya Patel,11,Service,Rural,17230760,0.343,0.738,43248,647,0,7518,0.174,0.258,14619156,1,3655674,7,1,2737738,13.28
Shruti Yadav,11,IT,Metro,19091356,0.183,0.216,31862,722,0,9863,0.31,0.88,22195973,1,2268474,2,0,0,
Meera Sharma,12,IT,Metro,5152106,0.128,0.283,52702,674,0,12689,0.241,0.354,1095666,1,458803,5,1,319047,14.11
Kunal Singh,8,Manufacturing,Urban,29124867,0.229,0.84,68860,734,0,24584,0.357,0.955,15052304,1,6086663,4,1,4764258,15.04
Neha Verma,12,Manufacturing,Metro,2279143,0.099,0.343,76083,627,0,13493,0.177,0.623,25131562,1,455431,3,0,0,
Vivek Patel,14,Service,Rural,23547102,0.045,0.722,63969,740,0,15534,0.243,0.493,2808804,1,2233184,4,1,1790477,13.46
Ritika Sharma,12,Retail,Metro,27360909,0.063,0.391,78801,770,0,19899,0.253,0.622,24554786,1,6191357,3,1,4775179,14.15
Kunal Khan,0,Retail,Metro,14683792,0.062,0.28,38712,600,0,9162,0.237,0.565,46355531,1,2405102,5,1,1670120,14.75
Sarthak Yadav,8,Retail,Rural,29746246,0.07,0.395,106094,742,0,29818,0.281,0.783,5269661,1,6453155,4,0,0,
Ritika Jain,6,Trading,Urban,2009762,0.066,0.778,67946,794,0,6453,0.095,0.354,38222036,1,521215,3,1,394532,13.49
Kabir Patel,8,MSME,Rural,2348735,0.231,0.885,97932,647,0,20071,0.205,0.418,20483553,1,217099,2,1,154280,14.15
Suresh Verma,7,Service,Metro,41218728,0.08,0.864,78568,820,0,3275,0.042,0.905,32758686,1,2258218,4,1,2063478,13.58
Vivek Reddy,0,MSME,Urban,18329437,0.134,0.518,81419,745,0,12523,0.154,0.952,13011830,1,4486600,10,1,3062197,16.03
Shruti Reddy,11,Retail,Urban,6789495,0.316,0.734,84244,678,0,16433,0.195,0.903,7974613,1,1374359,3,1,1040554,15.14
Shruti Khan,7,Service,Urban,26351041,0.176,0.364,81193,717,0,21182,0.261,0.478,8023131,1,5926610,5,1,4778648,13.37
Suresh Sharma,7,Retail,Urban,38614681,0.24,0.435,86068,753,0,32724,0.38,0.802,3524597,1,10022006,5,1,7800707,14.62
Sana Patel,14,Service,Urban,11183141,0.077,0.917,103229,725,1,24802,0.24,0.529,9282335,1,2803644,10,1,1983504,14.51
Vivek Gupta,10,MSME,Metro,31333079,0.083,0.21,74913,752,0,22282,0.297,0.548,33210969,1,9093801,7,1,6820732,14.14
Rahul Yadav,2,Service,Metro,4724700,0.033,0.268,87725,665,0,17765,0.203,0.284,44084531,1,869268,5,1,601736,13.93
Kunal Khan,0,Retail,Urban,3058245,0.076,0.366,67757,730,0,17186,0.254,0.632,40706284,1,526397,5,0,0,
Yash Singh,7,Service,Metro,26802054,0.112,0.221,106003,635,0,3008,0.028,0.268,34256715,1,4032953,7,0,0,
Amit Yadav,2,Manufacturing,Urban,27261439,0.078,0.345,53090,713,0,5402,0.102,0.398,5521593,1,2410532,4,1,1999310,12.9
Ritika Sharma,2,Trading,Metro,32052780,0.049,0.666,115024,666,0,16649,0.145,0.87,14459372,1,6191052,3,1,5045018,14.46
Kunal Jain,0,Service,Urban,36441521,0.06,0.537,68996,676,0,13040,0.189,0.286,15490344,1,4345765,1,1,3468333,12.88
Ravi Singh,10,Service,Urban,48804678,0.172,0.914,34231,794,0,625,0.018,0.164,12497847,1,13681263,7,0,0,
Rohan Patel,4,Service,Metro,26056867,0.088,0.854,73203,785,0,4100,0.056,0.162,25750283,1,5101875,7,1,4407111,11.85
Ritika Yadav,9,Service,Metro,16486345,0.14,0.473,52974,757,0,5866,0.111,0.947,26777691,1,3267759,2,0,0,
Ritika Gupta,6,Manufacturing,Metro,39861717,0.186,0.408,91016,654,0,35370,0.389,0.556,17844299,1,5530062,5,1,4407437,13.7
Ritika Kapoor,9,IT,Urban,13906196,0.248,0.504,53684,701,0,7115,0.133,0.468,17689458,1,876053,4,1,645375,14.04
Vivek Patel,8,Retail,Rural,22229085,0.033,0.672,58845,793,0,11346,0.193,0.83,41427780,1,1287863,2,1,1036388,14.44
Ritika Khan,11,IT,Metro,4383591,0.284,0.414,22761,729,0,1785,0.078,0.852,39464642,1,683112,10,0,0,
Ravi Khan,6,Trading,Urban,1754862,0.227,0.699,58692,859,0,14339,0.244,0.399,15389792,1,124843,3,0,0,
Sarthak Khan,8,Trading,Metro,48151097,0.047,0.528,15000,744,0,1684,0.112,0.724,45689422,1,9712642,2,1,8285091,13.64
Ritika Gupta,7,Service,Urban,41881016,0.308,0.642,30402,732,0,2517,0.083,0.794,47640751,1,11318062,5,1,9503446,13.99
Ravi Patel,11,Service,Rural,34950723,0.324,0.549,89010,701,0,18392,0.207,0.689,16337127,1,9462164,5,1,7487003,14.15
Anjali Reddy,1,Manufacturing,Metro,20743171,0.04,0.436,89645,728,0,197,0.002,0.236,17721247,1,4454831,1,1,3705614,12.39
Anjali Reddy,0,IT,Urban,9078069,0.111,0.959,80636,711,0,247,0.003,0.888,25281708,1,933298,5,1,711549,15.04
Meera Reddy,6,Retail,Metro,8243634,0.286,0.811,45826,762,1,4016,0.088,0.585,47056041,1,2190739,4,1,1715397,13.92
Yash Sharma,6,Service,Metro,12887023,0.267,0.312,68807,777,0,1011,0.015,0.354,43815972,1,3499128,2,0,0,
Rohan Reddy,13,Retail,Metro,27686720,0.081,0.895,69910,673,0,3021,0.043,0.483,5128398,1,2745509,3,1,2273130,13.17
Anjali Patel,7,Manufacturing,Metro,35872498,0.089,0.59,41041,640,0,5563,0.136,0.134,19636537,1,8406954,5,1,6691807,12.44
Meera Kapoor,4,Service,Urban,33179770,0.142,0.916,107585,610,0,34538,0.321,0.215,27668559,1,4035652,3,1,3431527,12.14
Sarthak Reddy,2,Manufacturing,Metro,14356728,0.18,0.84,91934,750,0,21036,0.229,0.789,25156624,1,3598659,10,1,2787157,14.62
Amit Gupta,11,IT,Urban,47765831,0.224,0.54,64476,654,0,13222,0.205,0.1,9693153,1,14296766,7,1,12592798,11.49
Amit Reddy,7,Retail,Metro,37025897,0.142,0.218,70672,591,0,8297,0.117,0.475,42940839,1,2129230,10,1,1600018,13.91
Suresh Verma,5,Manufacturing,Metro,27940526,0.173,0.415,75210,743,0,28031,0.373,0.57,33847039,1,7665245,3,1,6146542,13.69
Kiran Jain,10,Service,Urban,30780177,0.267,0.633,18957,870,0,3010,0.159,0.149,41895419,1,6330178,10,1,5340287,12.01
Anjali Patel,2,Manufacturing,Rural,21270203,0.032,0.707,63821,720,0,2223,0.035,0.976,42938214,1,6239522,4,1,5196944,14.6
Ritika Patel,0,Retail,Metro,12762684,0.103,0.406,52950,770,0,13069,0.247,0.304,37417793,1,2121827,3,1,1482037,13.93
Suresh Singh,2,IT,Rural,18120648,0.255,0.311,44959,725,0,2047,0.046,0.374,21960530,1,4744837,2,1,3670895,13.39
Sarthak Reddy,4,Manufacturing,Urban,38013382,0.315,0.868,62972,714,0,8696,0.138,0.374,30527338,1,2493621,2,1,2223026,12.21
Vivek Patel,14,Trading,Urban,1212478,0.189,0.988,114942,775,0,23329,0.203,0.307,8018270,1,162254,5,0,0,
Rahul Khan,13,Manufacturing,Urban,6245596,0.196,0.621,86021,703,0,30081,0.35,0.101,33682271,1,416919,4,0,0,
Meera Reddy,2,Retail,Metro,2777131,0.055,0.337,55721,736,0,11000,0.197,0.756,8962663,1,816020,3,1,588633,15.05
Anjali Verma,0,IT,Metro,2516076,0.168,0.418,84315,739,0,23684,0.281,0.97,34697480,1,639696,5,0,0,
Yash Gupta,4,Retail,Urban,42845299,0.196,0.215,104984,680,0,41692,0.397,0.302,11479908,1,11274177,3,1,9050773,12.88
Yash Verma,9,Manufacturing,Metro,35331064,0.1,0.931,93116,780,0,4897,0.053,0.697,5877565,1,10051381,5,0,0,
Ritika Patel,6,Retail,Rural,23971605,0.109,0.294,71491,710,0,7856,0.11,0.768,8264225,1,1708597,4,1,1221523,15.15
Suresh Patel,14,Retail,Metro,5342791,0.145,0.661,53827,675,0,8496,0.158,0.864,99607,0,782181,7,1,550120,15.56
Ravi Sharma,13,Trading,Metro,24834986,0.027,0.419,87456,752,0,14757,0.169,0.48,35936981,1,1682787,7,1,1286370,13.8
Shruti Verma,6,Retail,Urban,23936853,0.126,0.643,79837,666,0,13126,0.164,0.373,36620052,1,2458274,4,1,1869507,13.51
Rahul Khan,10,IT,Metro,9073493,0.09,0.721,92380,722,1,33538,0.363,0.393,25746667,1,973962,4,1,726781,13.72
Ritika Jain,8,Trading,Urban,21975657,0.128,0.864,85879,719,0,24528,0.286,0.741,8068140,1,3676018,4,1,3146193,13.66
Mohit Verma,14,Service,Urban,20225984,0.06,0.365,96239,785,0,23402,0.243,0.835,4177717,1,2369283,7,1,1623275,15.65
Sana Patel,14,MSME,Rural,30984580,0.314,0.209,56619,748,0,7007,0.124,0.263,956448,1,2331420,3,1,1771964,13.19
Sarthak Singh,9,Retail,Urban,31937136,0.216,0.31,102935,718,0,33919,0.33,0.434,8287409,1,2934153,3,1,2396333,13.13
Meera Khan,9,MSME,Urban,2742548,0.244,0.92,74940,769,0,28629,0.382,0.912,44542777,1,238105,2,1,187897,14.84
Shruti Kapoor,11,Manufacturing,Urban,19043324,0.28,0.899,121882,803,0,40036,0.328,0.826,12076842,1,5584820,4,0,0,
Vivek Gupta,12,IT,Rural,31480066,0.184,0.678,52770,753,1,33,0.001,0.986,17713566,1,7549648,4,1,5895330,15.15
Yash Gupta,2,Service,Metro,25405245,0.049,0.68,113399,721,0,28867,0.255,0.779,5267274,1,7416817,7,1,6274065,13.88
Sarthak Sharma,14,Retail,Metro,42896247,0.197,0.732,74948,641,0,1533,0.02,0.454,11118065,1,6860616,3,1,6275702,12.21
Meera Gupta,6,Service,Metro,33105335,0.214,0.34,53715,656,0,5535,0.103,0.632,25961229,1,3959137,4,1,3149243,13.94
Priya Yadav,0,IT,Metro,8565254,0.266,0.932,57903,702,0,1379,0.024,0.695,30387634,1,2137659,7,0,0,
Sarthak Yadav,3,Manufacturing,Urban,3993153,0.162,0.535,61991,683,0,14972,0.242,0.171,12267616,1,525353,7,1,383183,13.22
Ritika Gupta,12,Manufacturing,Urban,32299754,0.062,0.507,80604,709,1,22137,0.275,0.59,2886608,1,4032490,4,0,0,
