name,age,gender,city_tier,employment_type,monthly_income,existing_emi,dti,cibil_score,gold_weight_grams,gold_purity_karat,gold_value_estimated,ltv_ratio,loan_amount_requested,tenure_months,loan_status,approved_amount,interest_rate
Ravi Verma,48,Male,Metro,Salaried,47160.0,6840.0,0.145,862.0,103.87,20,476071.0,0.69,328489.0,6,1,286543.0,10.95
Aaditya Patel,27,Male,Rural,Business Owner,10040.0,638.0,0.064,676.0,121.63,20,557471.0,0.78,434827.0,3,1,376961.0,10.72
Meera Verma,64,Male,Rural,Farmer,19590.0,2555.0,0.13,630.0,11.51,24,63305.0,0.66,41781.0,9,1,33123.0,11.68
Ravi Jain,28,Female,Rural,Salaried,51006.0,4369.0,0.086,686.0,75.92,20,347967.0,0.76,264455.0,6,1,220202.0,11.06
Meera Singh,55,Male,Metro,Farmer,38814.0,5165.0,0.133,637.0,147.86,24,813230.0,0.74,601790.0,9,1,492549.0,11.23
Kunal Kapoor,34,Female,Urban,Business Owner,59509.0,1871.0,0.031,723.0,164.97,22,831724.0,0.74,615476.0,24,1,547847.0,10.66
Sana Kapoor,37,Male,Urban,Farmer,40822.0,1354.0,0.033,782.0,66.07,20,302821.0,0.77,233172.0,9,1,187618.0,11.25
Shruti Yadav,56,Male,Urban,Farmer,36744.0,1319.0,0.036,640.0,160.73,18,663011.0,0.74,490628.0,18,1,371902.0,11.72
Neha Kapoor,60,Male,Rural,Business Owner,55563.0,13055.0,0.235,735.0,193.71,20,887838.0,0.82,728027.0,12,1,610110.0,10.84
Yash Gupta,24,Female,Urban,Salaried,47122.0,8634.0,0.183,608.0,172.09,24,946495.0,0.77,728801.0,6,1,619741.0,10.89
Kunal Sharma,22,Male,Rural,Salaried,32645.0,1325.0,0.041,762.0,27.94,22,140864.0,0.74,104239.0,9,1,91972.0,10.72
Sarthak Singh,26,Male,Rural,Self-Employed,21871.0,1030.0,0.047,725.0,149.25,22,752469.0,0.81,609500.0,3,1,509913.0,10.88
Meera Verma,62,Female,Rural,Business Owner,6541.0,1195.0,0.183,765.0,67.34,22,339506.0,0.75,254630.0,6,1,226033.0,10.65
Yash Singh,24,Male,Metro,Salaried,29748.0,1161.0,0.039,693.0,197.74,20,906308.0,0.67,607226.0,12,1,486528.0,11.58
Rohan Reddy,49,Female,Metro,Self-Employed,20764.0,1218.0,0.059,674.0,99.65,22,502402.0,0.65,326561.0,3,1,283249.0,11.11
Yash Patel,38,Female,Metro,Farmer,66172.0,15937.0,0.241,749.0,28.87,20,132321.0,0.64,84685.0,6,1,67480.0,11.71
Shruti Yadav,46,Male,Rural,Self-Employed,27196.0,1736.0,0.064,622.0,146.41,24,805255.0,0.82,660309.0,9,1,548918.0,10.89
Ravi Yadav,64,Female,Metro,Farmer,26867.0,4444.0,0.165,595.0,67.99,22,342783.0,0.78,267371.0,24,1,221066.0,11.05
Rohan Khan,54,Male,Urban,Business Owner,16745.0,4097.0,0.245,700.0,199.43,22,1005460.0,0.83,834532.0,12,0,0.0,
Rahul Gupta,30,Female,Metro,Self-Employed,31804.0,2976.0,0.094,677.0,196.06,22,988469.0,0.75,741352.0,12,1,647689.0,10.76
Kunal Patel,56,Female,Urban,Self-Employed,27026.0,118.0,0.004,733.0,132.95,22,670290.0,0.72,482609.0,6,1,409969.0,11.04
Kabir Kapoor,34,Male,Rural,Self-Employed,55853.0,3409.0,0.061,765.0,30.32,24,166760.0,0.61,101724.0,12,1,88406.0,11.22
Neha Patel,51,Female,Rural,Self-Employed,37022.0,7690.0,0.208,732.0,138.94,22,700489.0,0.77,539377.0,12,1,468901.0,10.74
Neha Kapoor,35,Female,Metro,Salaried,34894.0,7542.0,0.216,761.0,23.14,18,95452.0,0.75,71589.0,12,1,57634.0,11.31
Suresh Reddy,28,Female,Rural,Salaried,33384.0,6414.0,0.192,719.0,10.73,22,54097.0,0.85,45982.0,24,1,39965.0,10.5
Meera Sharma,34,Female,Urban,Self-Employed,44434.0,1256.0,0.028,730.0,165.48,20,758450.0,0.66,500577.0,6,1,441949.0,10.96
Neha Jain,43,Female,Metro,Salaried,29572.0,5881.0,0.199,693.0,45.9,18,189338.0,0.73,138217.0,24,1,109497.0,11.47
Ritika Patel,60,Male,Urban,Salaried,43006.0,9877.0,0.23,728.0,78.91,24,434005.0,0.76,329844.0,24,1,290670.0,10.67
Mohit Reddy,41,Female,Urban,Self-Employed,54368.0,8163.0,0.15,710.0,194.82,22,982218.0,0.76,746486.0,3,1,594254.0,11.35
Anjali Singh,36,Male,Metro,Self-Employed,40521.0,9531.0,0.235,720.0,70.68,24,388740.0,0.74,287668.0,9,1,245450.0,10.95
Ravi Jain,38,Female,Urban,Salaried,32003.0,6615.0,0.207,690.0,62.82,22,316718.0,0.79,250207.0,24,1,200208.0,11.23
Ritika Sharma,44,Male,Metro,Farmer,23558.0,3928.0,0.167,749.0,184.05,22,927919.0,0.65,603147.0,6,0,0.0,
Kabir Khan,46,Male,Metro,Farmer,31699.0,4574.0,0.144,657.0,26.6,20,121917.0,0.78,95095.0,9,1,79835.0,10.94
Sana Sharma,45,Female,Metro,Salaried,41757.0,3639.0,0.087,699.0,153.12,20,701800.0,0.75,526350.0,24,0,0.0,
Aaditya Yadav,61,Female,Metro,Business Owner,16610.0,661.0,0.04,779.0,197.67,24,1087185.0,0.82,891492.0,9,1,817750.0,10.2
Shruti Gupta,49,Female,Metro,Self-Employed,44979.0,6803.0,0.151,643.0,180.75,22,911281.0,0.81,738138.0,6,1,606446.0,11.0
Sarthak Jain,35,Male,Urban,Farmer,37491.0,2982.0,0.08,570.0,132.08,24,726440.0,0.68,493979.0,9,1,390963.0,11.63
Rohan Singh,21,Female,Urban,Self-Employed,33210.0,7194.0,0.217,722.0,66.24,22,333960.0,0.67,223753.0,6,1,189301.0,11.22
Ritika Patel,45,Male,Urban,Business Owner,27087.0,6727.0,0.248,685.0,54.59,20,250204.0,0.85,212673.0,9,1,173668.0,10.92
Suresh Khan,27,Male,Rural,Farmer,29283.0,5508.0,0.188,761.0,164.75,22,830615.0,0.73,606349.0,3,1,537415.0,10.72
Meera Sharma,29,Male,Urban,Farmer,42168.0,954.0,0.023,692.0,176.57,22,890207.0,0.83,738872.0,12,1,589342.0,11.13
Ravi Jain,44,Female,Urban,Farmer,33461.0,2415.0,0.072,664.0,107.46,20,492525.0,0.64,315216.0,9,1,275709.0,11.08
Meera Khan,21,Female,Metro,Salaried,28986.0,791.0,0.027,695.0,52.65,24,289575.0,0.76,220077.0,12,1,191984.0,10.74
Ritika Singh,64,Male,Metro,Salaried,40623.0,6606.0,0.163,766.0,27.02,22,136226.0,0.8,108981.0,12,0,0.0,
Yash Reddy,28,Male,Urban,Farmer,41098.0,7862.0,0.191,735.0,22.0,20,100833.0,0.84,84700.0,9,1,72348.0,10.65
Shruti Gupta,44,Female,Metro,Self-Employed,20010.0,4631.0,0.231,554.0,145.22,22,732151.0,0.68,497863.0,12,1,408954.0,11.39
Yash Sharma,31,Male,Urban,Farmer,41858.0,4585.0,0.11,711.0,86.92,24,478060.0,0.78,372887.0,6,1,320164.0,10.79
Mohit Kapoor,37,Female,Metro,Salaried,65020.0,14652.0,0.225,714.0,181.55,20,832104.0,0.73,607436.0,9,0,0.0,
Neha Kapoor,28,Male,Rural,Self-Employed,40635.0,8918.0,0.219,699.0,149.24,24,820820.0,0.62,508908.0,6,1,420614.0,11.53
Sana Yadav,55,Female,Rural,Salaried,14612.0,1159.0,0.079,663.0,42.3,20,193875.0,0.77,149284.0,24,1,127116.0,10.88
Ravi Verma,55,Male,Urban,Self-Employed,37129.0,8065.0,0.217,772.0,124.69,22,628645.0,0.77,484057.0,3,1,417160.0,10.8
Kiran Patel,53,Female,Metro,Self-Employed,13030.0,1224.0,0.094,775.0,89.92,22,453347.0,0.83,376278.0,9,1,324171.0,10.62
Priya Yadav,25,Male,Metro,Self-Employed,73008.0,5418.0,0.074,568.0,117.56,22,592698.0,0.72,426743.0,12,1,359698.0,11.1
Yash Yadav,62,Female,Rural,Self-Employed,61828.0,10033.0,0.162,652.0,148.92,22,750805.0,0.66,495531.0,9,0,0.0,
Ravi Yadav,59,Female,Rural,Self-Employed,27009.0,2217.0,0.082,691.0,162.21,22,817809.0,0.61,498863.0,3,1,426549.0,11.33
Kunal Gupta,61,Male,Metro,Self-Employed,8052.0,1269.0,0.158,757.0,169.53,22,854714.0,0.7,598300.0,9,1,501236.0,11.2
Kabir Jain,48,Male,Urban,Farmer,24460.0,3729.0,0.152,702.0,54.53,22,274922.0,0.68,186947.0,12,1,153521.0,11.39
Sana Khan,27,Female,Metro,Salaried,32828.0,4624.0,0.141,659.0,11.07,20,50738.0,0.79,40083.0,12,1,31137.0,11.42
Sana Kapoor,29,Male,Metro,Self-Employed,13858.0,1318.0,0.095,743.0,149.16,24,820380.0,0.69,566062.0,9,1,483567.0,11.1
Rahul Kapoor,28,Female,Metro,Self-Employed,34172.0,4686.0,0.137,687.0,25.74,22,129772.0,0.84,109008.0,9,1,94076.0,10.58
Rahul Reddy,32,Male,Metro,Farmer,32749.0,4884.0,0.149,693.0,66.41,24,365255.0,0.84,306814.0,9,1,259334.0,10.72
Shruti Sharma,54,Female,Rural,Self-Employed,36502.0,4980.0,0.136,698.0,5.74,20,26308.0,0.76,19994.0,12,1,16779.0,11.01
Meera Sharma,53,Female,Urban,Business Owner,37756.0,4195.0,0.111,734.0,137.93,22,695397.0,0.83,577180.0,9,1,508648.0,10.46
Sarthak Singh,43,Female,Metro,Business Owner,23413.0,86.0,0.004,681.0,37.59,22,189516.0,0.79,149718.0,9,1,128496.0,10.76
Rohan Singh,44,Female,Urban,Salaried,24759.0,3634.0,0.147,741.0,132.78,22,669432.0,0.74,495380.0,6,1,425480.0,10.91
Anjali Singh,57,Female,Rural,Salaried,35547.0,1497.0,0.042,696.0,198.39,22,1000216.0,0.65,650140.0,3,1,525273.0,11.59
Aaditya Yadav,55,Female,Rural,Self-Employed,27428.0,4406.0,0.161,636.0,19.17,18,79076.0,0.71,56144.0,6,1,44302.0,11.56
Ravi Khan,64,Male,Metro,Salaried,45890.0,8712.0,0.19,698.0,20.03,22,100985.0,0.74,74729.0,6,1,65406.0,10.78
Suresh Yadav,60,Male,Metro,Self-Employed,35431.0,4433.0,0.125,639.0,71.37,22,359824.0,0.82,295056.0,9,1,245023.0,10.9
Sana Reddy,42,Male,Metro,Business Owner,57380.0,7780.0,0.136,702.0,173.95,18,717544.0,0.72,516632.0,12,1,446405.0,10.93
Meera Khan,47,Female,Metro,Salaried,44846.0,10668.0,0.238,750.0,47.03,22,237110.0,0.82,194430.0,6,1,160639.0,10.93
Anjali Kapoor,55,Female,Metro,Salaried,48245.0,10218.0,0.212,636.0,75.27,22,379486.0,0.77,292204.0,24,1,240113.0,11.12
Amit Jain,21,Female,Urban,Salaried,36591.0,8363.0,0.229,722.0,18.36,18,75735.0,0.63,47713.0,3,1,38088.0,11.72
Kabir Patel,55,Female,Metro,Farmer,36888.0,7505.0,0.203,650.0,153.82,24,846010.0,0.85,719108.0,12,1,610882.0,10.65
Shruti Singh,57,Male,Metro,Self-Employed,55776.0,1519.0,0.027,712.0,84.62,24,465410.0,0.73,339749.0,12,1,300398.0,10.74
Mohit Khan,34,Male,Metro,Salaried,30460.0,1135.0,0.037,752.0,153.05,22,771627.0,0.7,540139.0,9,1,472052.0,10.91
Meera Kapoor,23,Female,Metro,Business Owner,41561.0,5472.0,0.132,572.0,181.2,18,747450.0,0.76,568062.0,3,1,461605.0,11.22
Suresh Singh,21,Male,Metro,Farmer,31805.0,1957.0,0.062,633.0,50.39,22,254050.0,0.63,160052.0,12,1,131691.0,11.53
Suresh Khan,25,Male,Urban,Salaried,31776.0,3787.0,0.119,678.0,162.44,22,818968.0,0.76,622416.0,9,1,516867.0,11.08
Rahul Kapoor,46,Female,Metro,Farmer,20973.0,2068.0,0.099,719.0,16.52,22,83288.0,0.72,59967.0,24,1,48062.0,11.43
Mohit Patel,34,Male,Metro,Farmer,26090.0,3584.0,0.137,690.0,180.28,22,908912.0,0.7,636238.0,9,1,540385.0,11.11
Sana Verma,59,Female,Metro,Salaried,23861.0,4455.0,0.187,697.0,131.9,22,664996.0,0.84,558597.0,24,1,470025.0,10.75
Rohan Patel,47,Male,Urban,Salaried,42132.0,7536.0,0.179,823.0,175.47,22,884661.0,0.73,645803.0,6,1,556834.0,10.91
Ritika Reddy,29,Female,Metro,Salaried,47482.0,6187.0,0.13,627.0,5.04,22,25410.0,0.65,16516.0,12,1,13396.0,11.56
Rahul Yadav,35,Female,Metro,Salaried,33863.0,6962.0,0.206,768.0,37.97,22,191432.0,0.71,135917.0,12,1,114926.0,11.11
Meera Yadav,35,Female,Metro,Business Owner,37756.0,4067.0,0.108,679.0,81.0,24,445500.0,0.83,369765.0,12,1,312283.0,10.75
Sarthak Yadav,46,Female,Rural,Business Owner,33170.0,7436.0,0.224,733.0,79.0,22,398292.0,0.64,254907.0,6,1,208828.0,11.53
Meera Patel,62,Male,Metro,Salaried,25271.0,450.0,0.018,828.0,49.21,22,248100.0,0.65,161265.0,12,1,142441.0,10.98
Kiran Jain,33,Female,Urban,Salaried,45347.0,10823.0,0.239,741.0,79.41,24,436755.0,0.6,262053.0,9,1,223650.0,11.37
Rahul Khan,52,Female,Rural,Salaried,42830.0,7010.0,0.164,722.0,30.13,22,151905.0,0.6,91143.0,12,1,74229.0,11.68
Shruti Gupta,59,Female,Metro,Salaried,12289.0,1168.0,0.095,796.0,85.49,22,431012.0,0.81,349120.0,6,1,300091.0,10.69
Mohit Yadav,52,Male,Rural,Business Owner,31603.0,1558.0,0.049,767.0,161.46,22,814028.0,0.78,634942.0,18,1,546252.0,10.78
Ravi Verma,24,Female,Urban,Salaried,24416.0,2925.0,0.12,652.0,98.42,22,496201.0,0.69,342379.0,3,0,0.0,
Rahul Patel,50,Male,Metro,Salaried,30309.0,1474.0,0.049,718.0,8.51,24,46805.0,0.77,36040.0,18,1,30991.0,10.81
Sarthak Verma,57,Female,Metro,Salaried,26955.0,1121.0,0.042,597.0,87.18,22,439533.0,0.7,307673.0,18,1,257254.0,11.21
Aaditya Khan,43,Male,Urban,Self-Employed,34443.0,5316.0,0.154,668.0,10.3,24,56650.0,0.84,47586.0,18,1,38178.0,11.06
Shruti Kapoor,59,Male,Urban,Salaried,31041.0,4059.0,0.131,719.0,193.42,18,797858.0,0.84,670201.0,9,1,529810.0,11.16
Kiran Patel,35,Female,Rural,Farmer,30786.0,5157.0,0.168,664.0,29.85,18,123131.0,0.7,86192.0,9,1,69625.0,11.44
Shruti Singh,63,Male,Metro,Salaried,48289.0,11222.0,0.232,716.0,143.0,22,720958.0,0.81,583976.0,24,1,479337.0,11.0
Meera Kapoor,49,Female,Urban,Farmer,41686.0,5547.0,0.133,699.0,194.69,20,892329.0,0.79,704940.0,6,1,600766.0,10.81
Suresh Singh,56,Female,Metro,Self-Employed,26553.0,3856.0,0.145,732.0,166.08,20,761200.0,0.68,517616.0,9,1,445622.0,11.07
Ravi Yadav,33,Female,Rural,Salaried,28333.0,635.0,0.022,675.0,141.37,22,712740.0,0.66,470408.0,12,1,397484.0,11.26
Sana Reddy,52,Male,Urban,Self-Employed,40902.0,7338.0,0.179,644.0,168.69,20,773162.0,0.71,548945.0,12,0,0.0,
Anjali Sharma,27,Male,Metro,Business Owner,40885.0,4088.0,0.1,789.0,196.45,18,810356.0,0.8,648285.0,6,1,565541.0,10.62
Ravi Kapoor,42,Female,Metro,Business Owner,27755.0,6777.0,0.244,670.0,126.16,24,693880.0,0.84,582859.0,12,1,489644.0,10.76
Ravi Singh,48,Female,Metro,Self-Employed,32192.0,6625.0,0.206,740.0,114.04,20,522683.0,0.79,412920.0,18,1,328640.0,11.26
Rahul Sharma,22,Male,Metro,Self-Employed,57162.0,7467.0,0.131,786.0,127.51,22,642863.0,0.81,520719.0,3,1,431426.0,10.94
Suresh Sharma,62,Female,Metro,Business Owner,27961.0,861.0,0.031,710.0,108.87,22,548886.0,0.75,411664.0,24,1,366137.0,10.63
Amit Singh,26,Female,Urban,Self-Employed,57930.0,12446.0,0.215,649.0,128.84,24,708620.0,0.81,573982.0,3,1,496511.0,10.65
Ritika Patel,48,Female,Urban,Salaried,48244.0,9646.0,0.2,689.0,92.72,18,382470.0,0.8,305976.0,9,0,0.0,
Shruti Sharma,48,Male,Urban,Business Owner,55705.0,2571.0,0.046,761.0,47.6,24,261800.0,0.69,180642.0,3,1,151054.0,11.24
Anjali Jain,64,Male,Rural,Salaried,27451.0,2026.0,0.074,712.0,28.45,22,143435.0,0.74,106142.0,3,1,92949.0,10.77
Ravi Patel,64,Male,Urban,Self-Employed,32977.0,6541.0,0.198,628.0,18.33,22,92414.0,0.8,73931.0,24,1,60351.0,11.07
Kunal Kapoor,40,Female,Urban,Salaried,29610.0,1371.0,0.046,736.0,56.35,22,284098.0,0.61,173300.0,9,1,150256.0,11.23
Yash Khan,50,Female,Urban,Salaried,48521.0,11133.0,0.229,746.0,13.99,24,76945.0,0.8,61556.0,9,1,52449.0,10.78
Ritika Reddy,31,Female,Metro,Salaried,28188.0,2992.0,0.106,679.0,115.6,22,582817.0,0.64,373003.0,6,1,315969.0,11.3
Kiran Gupta,48,Male,Metro,Farmer,43775.0,953.0,0.022,737.0,60.35,22,304265.0,0.73,222113.0,9,1,190635.0,10.94
Shruti Yadav,45,Female,Metro,Salaried,43140.0,8798.0,0.204,715.0,165.78,22,835808.0,0.8,668646.0,9,1,552966.0,10.98
Amit Sharma,59,Female,Metro,Salaried,34424.0,3214.0,0.093,688.0,19.48,22,98212.0,0.66,64820.0,9,1,55859.0,11.13
Neha Patel,53,Female,Metro,Salaried,50584.0,6658.0,0.132,622.0,49.14,24,270270.0,0.66,178378.0,6,1,148116.0,11.38
Yash Verma,21,Female,Metro,Self-Employed,36292.0,1019.0,0.028,765.0,147.4,20,675583.0,0.7,472908.0,18,1,410922.0,10.95
Suresh Khan,47,Male,Rural,Business Owner,45009.0,29.0,0.001,746.0,121.77,24,669735.0,0.82,549183.0,9,1,484015.0,10.49
Sana Reddy,33,Male,Urban,Self-Employed,29064.0,4636.0,0.16,735.0,17.58,18,72517.0,0.6,43510.0,9,1,34997.0,11.77
Amit Yadav,61,Female,Metro,Self-Employed,26319.0,3390.0,0.129,793.0,176.06,18,726248.0,0.83,602786.0,6,0,0.0,
Anjali Kapoor,23,Male,Metro,Business Owner,43774.0,6495.0,0.148,757.0,176.07,18,726289.0,0.64,464825.0,12,1,387699.0,11.41
Amit Patel,59,Male,Metro,Self-Employed,40170.0,7971.0,0.198,741.0,69.43,22,350043.0,0.85,297537.0,9,1,249532.0,10.74
Kabir Sharma,26,Female,Urban,Salaried,37920.0,6130.0,0.162,567.0,71.38,22,359874.0,0.84,302294.0,9,1,253652.0,10.77
Priya Jain,28,Female,Urban,Salaried,30876.0,1349.0,0.044,772.0,197.86,18,816172.0,0.72,587644.0,6,0,0.0,
Sarthak Singh,47,Male,Rural,Salaried,53591.0,4834.0,0.09,705.0,127.1,18,524288.0,0.73,382730.0,24,1,336193.0,10.78
Meera Reddy,29,Female,Metro,Salaried,21601.0,4892.0,0.226,719.0,108.61,24,597355.0,0.72,430096.0,6,1,360709.0,11.13
Kiran Verma,57,Male,Rural,Self-Employed,20944.0,4031.0,0.192,719.0,168.44,24,926420.0,0.76,704079.0,12,0,0.0,
Ravi Kapoor,53,Female,Rural,Farmer,46306.0,6444.0,0.139,746.0,60.63,24,333465.0,0.62,206748.0,9,1,186331.0,10.93
Meera Patel,62,Male,Metro,Salaried,45321.0,2897.0,0.064,767.0,88.69,24,487795.0,0.61,297555.0,6,1,254193.0,11.34
Kunal Kapoor,64,Female,Urban,Self-Employed,39245.0,2964.0,0.076,738.0,57.22,22,288484.0,0.61,175975.0,12,1,150118.0,11.35
Priya Jain,44,Male,Urban,Self-Employed,31545.0,5772.0,0.183,729.0,158.89,20,728246.0,0.71,517055.0,6,1,437718.0,11.1
Rohan Patel,35,Male,Urban,Salaried,41029.0,8731.0,0.213,714.0,116.8,22,588867.0,0.67,394541.0,18,1,339261.0,11.11
Yash Yadav,52,Male,Metro,Business Owner,55650.0,9341.0,0.168,499.0,133.47,22,672911.0,0.76,511412.0,24,0,0.0,
Sarthak Kapoor,52,Female,Urban,Self-Employed,65187.0,13193.0,0.202,683.0,54.2,20,248417.0,0.85,211154.0,18,1,170197.0,11.0
