name,age,city_tier,employment_type,monthly_income,other_income,bank_avg_balance_6m,job_tenure_months,cibil_score,past_defaults,inquiries_6m,existing_emi,dti,loan_amount_requested,tenure_requested_months,insurer_present,co_applicant,loan_status,approved_amount,interest_rate,loan_type,vehicle_type,vehicle_price,down_payment,co_applicant_income,property_value,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,academic_score,entrance_score,course_level,course_stream,institute_tier,country,parent_income,parent_existing_emi,parent_dti,parent_cibil,tuition_fee,living_expenses,moratorium_years,business_vintage_years,business_type,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,existing_loan_emi,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years
Kabir Reddy,32,Metro,Self-Employed,57188,25011,45307,39,708,0,0,13333,0.233,629870,60,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Patel,23,Metro,Salaried,65344,17281,186203,3,780,1,2,10947,0.168,1184723,24,1,1,1,994752,13.5,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Khan,39,Metro,Salaried,43920,20622,90882,28,743,0,1,5590,0.127,606458,36,1,0,1,496222,12.02,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Sharma,30,Rural,Self-Employed,60053,23985,80307,44,688,0,2,16329,0.272,850900,36,1,0,1,645494,12.81,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Sharma,36,Metro,Self-Employed,50425,25160,42769,7,756,0,2,1682,0.033,590054,36,1,1,1,468926,12.45,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Gupta,48,Rural,Govt,35323,6194,87780,55,539,0,1,5220,0.148,525483,12,1,0,1,351490,13.51,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Patel,34,Rural,Self-Employed,50421,19341,103372,32,779,0,2,172,0.003,600138,12,0,1,1,497621,12.11,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Verma,26,Urban,Govt,68071,13680,124819,109,606,0,1,9571,0.141,576645,24,1,0,1,442865,12.52,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Yadav,30,Metro,Self-Employed,44463,10668,121594,2,688,0,2,751,0.017,500830,36,1,1,1,414512,12.12,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Reddy,26,Metro,Salaried,68470,21483,169223,11,643,0,2,2441,0.036,553001,36,1,0,1,474184,11.83,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Patel,35,Urban,Salaried,8000,3495,7033,33,632,0,2,282,0.035,157922,24,1,0,1,106970,13.63,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,26,Metro,Self-Employed,57329,28208,73341,13,780,0,1,11166,0.195,1123016,36,1,1,1,879720,12.37,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Verma,29,Metro,Salaried,46306,17788,51919,45,682,0,0,10364,0.224,590025,48,1,1,1,461382,12.18,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Reddy,23,Urban,Salaried,40515,8463,95610,51,731,0,0,7091,0.175,678239,12,1,1,1,556302,11.8,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Singh,31,Rural,Salaried,46376,9770,27076,4,707,0,2,13387,0.289,563453,36,0,1,1,403732,13.23,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Verma,33,Urban,Govt,15186,5600,29229,26,739,0,1,1708,0.112,243783,36,1,1,1,185155,12.6,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Singh,18,Metro,Salaried,41705,4979,100348,26,715,0,0,3575,0.086,736726,24,1,0,1,593352,11.95,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Sharma,34,Urban,Salaried,50357,2782,135557,17,633,0,2,13122,0.261,974966,36,0,0,1,639995,13.84,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Kapoor,32,Metro,Salaried,67168,11910,91026,97,770,0,3,4506,0.067,859921,36,1,0,1,709036,12.35,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Khan,27,Metro,Salaried,37226,5346,95043,63,680,0,1,10757,0.289,647717,48,0,0,1,439437,13.42,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Gupta,46,Rural,Salaried,32873,4870,25528,43,617,0,2,120,0.004,367886,48,1,0,1,272407,13,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Khan,39,Metro,Salaried,37474,4377,98037,45,684,0,0,10904,0.291,745133,36,1,0,1,556658,12.53,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Singh,24,Metro,Salaried,58731,1236,48084,22,800,0,1,760,0.013,488010,48,1,0,1,402983,11.94,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Reddy,38,Metro,Self-Employed,49931,446,74558,91,761,0,2,13349,0.267,761066,36,1,0,1,559967,13.04,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Singh,41,Rural,Salaried,37054,18300,92384,43,689,0,1,5866,0.158,589680,36,0,0,1,411198,13.23,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Gupta,33,Urban,Self-Employed,52699,11272,46101,47,689,0,3,15698,0.298,856704,36,1,0,1,677816,12.69,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Kapoor,35,Urban,Self-Employed,46456,8927,49853,71,691,0,0,1028,0.022,438761,24,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Khan,34,Urban,Salaried,59530,20230,137254,12,835,0,2,9891,0.166,1146688,48,1,1,1,992929,11.74,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Reddy,18,Metro,Self-Employed,34469,3761,79282,59,733,1,0,10023,0.291,350694,36,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Jain,31,Urban,Salaried,40085,19040,84294,8,736,0,2,6291,0.157,620237,36,1,0,1,485601,12.57,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Jain,30,Metro,Self-Employed,39118,15380,87424,15,772,1,0,7386,0.189,417472,60,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Verma,42,Metro,Salaried,23047,1030,42794,15,724,0,2,4810,0.209,269341,12,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Singh,34,Urban,Self-Employed,49442,10323,55845,138,694,0,0,6742,0.136,719752,36,1,0,1,566618,12.13,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Singh,30,Rural,Salaried,48916,21501,66733,70,698,0,0,9209,0.188,636217,12,1,0,1,503975,12.08,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Patel,31,Metro,Salaried,45077,21293,43003,43,706,0,0,7902,0.175,447286,48,1,0,1,326005,12.71,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Gupta,39,Metro,Salaried,41481,9694,114949,47,708,0,1,11214,0.27,416935,48,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Reddy,31,Metro,Self-Employed,23769,7290,46551,30,754,0,2,324,0.014,309419,36,1,0,1,232562,12.88,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Patel,27,Metro,Self-Employed,38690,3231,58117,106,713,0,3,3261,0.084,661111,36,1,1,1,554159,12.22,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Kapoor,30,Rural,Salaried,39859,19753,65967,25,754,0,0,11365,0.285,748376,36,1,1,1,594479,12.06,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Reddy,39,Urban,Salaried,32966,3819,94553,17,705,0,1,8805,0.267,297008,48,1,0,1,204221,13.32,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Verma,35,Urban,Salaried,42581,20071,37615,6,715,0,1,5821,0.137,541513,36,1,0,1,409740,12.63,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Kapoor,32,Urban,Self-Employed,51061,16586,100364,56,590,0,0,9499,0.186,469912,36,1,0,1,341774,12.73,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Khan,33,Metro,Salaried,73293,22271,129342,48,765,0,1,6099,0.083,600937,60,1,0,1,473566,12.32,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Yadav,28,Urban,Self-Employed,47619,12207,96602,17,731,0,1,2687,0.056,759077,24,1,1,1,612860,12.13,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Khan,31,Metro,Salaried,48863,5636,26644,1,770,0,2,6797,0.139,744154,24,1,0,1,575546,12.67,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Patel,27,Urban,Salaried,43883,3873,117620,66,536,0,0,4652,0.106,436909,36,1,1,1,323080,12.61,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Gupta,30,Rural,Salaried,16218,1788,45902,1,835,0,0,2840,0.175,175248,60,1,0,1,128666,12.66,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Sharma,41,Urban,Salaried,44602,4158,85316,44,702,1,0,1040,0.023,369505,36,0,1,1,279704,13.93,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Jain,24,Metro,Salaried,45903,17893,102897,127,776,0,0,13418,0.292,827143,12,1,0,1,620385,12.5,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Singh,27,Rural,Salaried,81949,14346,229969,21,648,0,4,24246,0.296,1614091,36,1,1,1,1311539,12.67,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Jain,23,Metro,Self-Employed,42115,1218,95521,10,747,0,1,8821,0.209,405379,36,0,0,1,294453,12.94,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Patel,22,Metro,Salaried,49523,23996,43647,44,647,0,2,7965,0.161,533744,24,1,0,1,392060,13.05,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Yadav,31,Metro,Salaried,44479,19655,86321,61,673,0,0,4130,0.093,819344,36,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Khan,28,Metro,Salaried,27470,12743,55401,28,825,0,1,6706,0.244,525160,60,1,0,1,395979,12.66,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Kapoor,44,Urban,Salaried,62142,30913,96962,123,699,0,2,12765,0.205,810054,36,1,1,1,654706,12.32,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Patel,30,Urban,Salaried,56279,4893,131755,2,723,0,1,2746,0.049,484420,36,0,1,1,371172,12.54,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Verma,41,Rural,Salaried,56865,11266,161264,25,762,0,1,15540,0.273,481800,36,0,1,1,370763,12.5,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Khan,39,Urban,Salaried,31359,11889,88242,46,740,0,2,7738,0.247,466854,24,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Patel,31,Urban,Salaried,66042,22983,107457,71,719,0,1,18818,0.285,839707,48,1,1,1,673049,12.18,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Reddy,47,Metro,Salaried,23972,1845,18772,7,732,0,3,5219,0.218,200018,36,0,0,1,140348,13.58,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Khan,34,Metro,Salaried,53803,21947,159370,58,854,0,2,9901,0.184,806993,36,1,0,1,653619,12.3,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Patel,43,Urban,Salaried,77857,8737,202214,29,707,0,1,9769,0.125,633416,36,1,0,1,521229,11.97,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Yadav,42,Metro,Salaried,30142,3373,24465,18,722,0,1,8434,0.28,525932,36,0,0,1,374803,13.07,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
