name,age,academic_score,entrance_score,course_level,course_stream,institute_tier,country,parent_income,parent_existing_emi,parent_dti,parent_cibil,tuition_fee,living_expenses,down_payment,loan_amount_requested,tenure_years,moratorium_years,loan_status,approved_amount,interest_rate
Kunal Kapoor,18.0,,,Diploma,Arts,Tier2,India,42783.0,1116.0,0.026,611.0,726743.0,116015.0,127162.0,715596.0,7.0,2.0,1.0,525284.0,12.66
Meera Singh,28.0,71.43,737.0,,Other,Tier2,India,58434.0,10844.0,0.186,678.0,,284767.0,,571776.0,10.0,0.0,0.0,0.0,12.316354679802958
Rohan Patel,22.0,88.98,558.0,,Engineering,Tier1,India,45909.0,16697.0,0.364,610.0,1441108.0,209094.0,340406.0,1309796.0,15.0,2.0,0.0,0.0,12.316354679802958
Yash Verma,18.0,69.5,787.0,UG,Medical,Tier2,India,49727.0,10715.0,,790.0,841524.0,131128.0,77361.0,1324936.865942029,,3.0,0.0,0.0,12.316354679802958
Rahul Sharma,17.0,93.78,601.0,UG,Other,Tier3,India,50819.0,10119.0,0.199,815.0,438651.0,117378.0,5298.0,550731.0,7.0,1.0,1.0,424741.0,12.29
Meera Khan,28.0,76.0,552.3731884057971,PG,Engineering,Tier2,India,42331.0,1786.0,0.042,718.0398550724638,800845.0,97732.0,141354.0,757223.0,5.0,2.0,1.0,550784.0,12.73
Rahul Verma,28.0,89.47,711.0,PG,Other,Tier3,India,67561.0,17749.0,0.263,661.0,1051468.0,223660.0,125446.0,1149682.0,7.0,1.0,0.0,0.0,12.316354679802958
Mohit Reddy,33.0,66.8,473.0,PG,Medical,Tier2,India,44302.0,14568.0,0.329,809.0,206735.0,,60396.0,251018.0,5.0,2.0,1.0,174448.0,13.05
Neha Gupta,26.0,74.4,474.0,UG,Management,Tier2,India,60392.0,,0.152,705.0,484585.0,198826.0,79113.0,604298.0,7.0,1.644927536231884,1.0,434242.0,12.81
Rahul Reddy,32.0,84.48,316.0,PhD,Medical,Tier3,India,41782.0,12963.0,0.31,647.0,1229752.0,116159.0,101543.0,1244368.0,5.0,1.0,0.0,0.0,12.316354679802958
Neha Khan,31.0,64.84,574.0,PG,Medical,Tier3,India,21643.0,8350.0,0.386,662.0,743531.0,215492.0,158247.0,800776.0,9.797101449275363,2.0,0.0,0.0,12.316354679802958
Ravi Sharma,31.0,64.65,567.0,PG,Other,Tier2,India,82811.0,6750.0,0.082,,865208.0,253735.0,70469.0,1048474.0,7.0,3.0,0.0,0.0,12.316354679802958
Ravi Patel,28.0,93.93,478.0,Diploma,,Tier2,India,72488.0,15174.0,0.209,723.0,705942.0,244506.0,191503.0,758945.0,9.797101449275363,1.0,1.0,595782.0,12.15
Mohit Kapoor,19.0,85.01,747.0,PG,,Tier1,India,117217.0,13463.0,0.20041666666666666,,161460.0,240213.0,18151.0,1324936.865942029,5.0,1.644927536231884,1.0,761098.6884057971,12.05
Rohan Khan,21.0,61.44,364.0,UG,Arts,,India,33901.0,10751.0,0.317,635.0,332050.0,96931.0,54775.0,374206.0,15.0,3.0,0.0,0.0,12.316354679802958
Mohit Yadav,23.0,73.96,465.0,PG,Management,Tier3,India,54776.0,12655.0,0.231,793.0,723758.0,72096.0,167711.3152173913,784873.0,7.0,2.0,1.0,618157.0,12.12
Anjali Yadav,25.0,75.17,461.0,UG,Management,Tier3,India,56787.0,14414.0,0.254,711.0,392860.0,224737.0,50222.0,567375.0,10.0,3.0,1.0,404779.0,12.87
Aaditya Sharma,23.0,,346.0,UG,Arts,Tier3,India,84734.0,27044.0,0.319,677.0,169971.0,293180.00724637683,42443.0,269615.0,12.0,2.0,1.0,206211.0,12.35
Suresh Yadav,34.0,68.78,541.0,PG,Law,Tier3,India,47322.0,7495.0,0.20041666666666666,787.0,1281110.0,158087.0,309637.0,1129560.0,5.0,1.644927536231884,1.0,835266.0,12.61
Sana Kapoor,20.0,66.45,644.0,UG,Arts,Tier3,India,30724.0,11246.0,0.366,649.0,1473670.0,57787.0,167711.3152173913,1432286.0,5.0,1.0,0.0,0.0,12.316354679802958
Shruti Verma,30.0,77.8241304347826,,PG,Law,ForeignTop,,90195.0,19231.0,0.213,622.0,4144136.0,584320.0,167711.3152173913,4447385.0,12.0,2.0,0.0,0.0,12.316354679802958
Anjali Khan,34.0,74.99,378.0,UG,Management,Tier2,India,52084.0,3291.0,0.20041666666666666,796.0,1295299.0,58419.0,317596.0,1036122.0,15.0,3.0,0.0,0.0,12.316354679802958
Amit Sharma,25.0,84.1,489.0,PhD,Engineering,Tier1,India,59719.166666666664,22816.0,0.278,833.0,438768.0,269796.0,122469.0,586095.0,9.797101449275363,2.0,0.0,0.0,12.316354679802958
Yash Patel,18.0,62.04,301.0,UG,Other,Tier2,India,79055.0,11987.797101449276,0.317,718.0398550724638,1444878.0,110849.0,41335.0,1324936.865942029,7.0,1.0,1.0,,12.8
Shruti Jain,31.0,92.03,734.0,Diploma,Management,Tier1,India,59253.0,7508.0,0.127,717.0,1196632.384057971,189334.0,50726.0,514304.0,9.797101449275363,1.0,1.0,407568.0,12.08
Rohan Singh,23.0,75.48,342.0,PG,Other,Tier3,India,55642.0,19078.0,0.20041666666666666,651.0,1432002.0,59745.0,144971.0,1346776.0,5.0,1.644927536231884,0.0,0.0,12.316354679802958
Neha Reddy,28.0,77.8241304347826,599.0,UG,Medical,ForeignTop,UK,50211.0,18199.0,0.362,720.0,2638957.0,322987.0,689313.0,2272631.0,12.0,1.0,0.0,0.0,12.316354679802958
Neha Jain,,63.29,793.0,PG,Medical,Tier1,India,59620.0,6604.0,0.111,691.0,1096412.0,130757.0,27473.0,1199696.0,10.0,1.0,1.0,946000.0,12.11
,31.0,,568.0,Diploma,Medical,Tier1,India,81578.0,32093.0,0.393,718.0398550724638,1473601.0,274480.0,93335.0,1654746.0,7.0,2.0,0.0,0.0,12.316354679802958
Rahul Verma,19.0,77.8241304347826,762.0,UG,Other,Tier2,India,40089.0,2256.0,0.056,745.0,897356.0,272030.0,202570.0,966816.0,12.0,,1.0,782013.0,11.91
Ravi Gupta,30.0,,418.0,UG,Medical,ForeignTop,Austr,,5068.0,0.081,654.0,5279107.0,581311.0,81236.0,5779182.0,5.0,1.644927536231884,1.0,4228617.0,12.68
Amit Kapoor,33.0,78.08,,UG,Other,Tier2,India,32034.0,2361.0,0.074,,711794.0,275240.0,105175.0,881859.0,,2.0,1.0,701195.0,12.05
,20.0,83.0,566.0,PG,Other,Tier3,India,35147.0,12568.0,0.358,612.0,930985.0,293180.00724637683,123479.0,1324936.865942029,5.0,,1.0,743808.0,
,,75.25,660.0,PG,Engineering,Tier1,India,59227.0,15501.0,,699.0,202314.0,256354.0,167711.3152173913,438372.0,,1.0,1.0,341457.0,12.21
Vivek Verma,24.0,85.55,552.3731884057971,PG,Management,Tier1,India,59719.166666666664,669.0,0.061,714.0,971281.0,261218.0,114972.0,1117527.0,10.0,1.0,1.0,836048.0,12.52
Neha Yadav,20.0,61.67,374.0,UG,Law,ForeignOther,UK,111514.0,19641.0,0.176,734.0,1537440.0,1419846.0,244426.0,,15.0,2.0,1.0,2171325.0,12.0
Kabir Yadav,18.0,79.81,367.0,UG,Engineering,ForeignOther,Austr,30174.0,7426.0,,734.0,3451123.0,618596.0,167070.0,3902649.0,10.0,1.0,1.0,2778710.0,12.88
Yash Yadav,22.0,65.55,552.3731884057971,PG,Law,Tier1,India,58998.0,1970.0,0.033,774.0,1209633.0,66814.0,207572.0,1068875.0,12.0,1.0,1.0,761098.6884057971,12.23
Kunal Jain,26.0,,722.0,UG,,ForeignOther,UK,89205.0,31486.0,0.353,628.0,4867730.0,1114200.0,1176188.0,4805742.0,7.0,,,3820058.0,12.05
Aaditya Reddy,,71.97,675.0,UG,Management,Tier3,India,38427.0,12352.0,0.321,631.0,1421182.0,299723.0,324098.0,1396807.0,,1.644927536231884,0.0,761098.6884057971,12.316354679802958
Meera Sharma,34.0,63.21,315.0,Diploma,Other,Tier3,USA,8000.0,1617.0,0.202,752.0,3453094.0,1317731.0,159429.0,,10.0,0.0,1.0,3023355.0,13.44
Mohit Sharma,28.0,63.3,734.0,PG,Medical,Tier2,India,48876.0,18908.0,0.387,598.0,830043.0,237046.0,37165.0,1029924.0,10.0,2.0,1.0,724679.0,12.96
Ravi Kapoor,18.0,70.9,477.0,PG,Other,Tier3,India,38129.0,6372.0,0.167,731.0,1468231.0,251666.0,118123.0,1601774.0,10.0,2.0,1.0,1238923.0,12.27
Rohan Sharma,26.0,,499.0,PG,Arts,Tier2,India,59719.166666666664,11987.797101449276,0.394,649.0,1160234.0,264506.0,125679.0,1299061.0,5.0,2.0,1.0,911625.0,12.98
Sarthak Yadav,20.0,66.14,352.0,PG,Other,,India,59719.166666666664,17933.0,0.267,,326340.0,299407.0,39989.0,1324936.865942029,7.0,3.0,1.0,426542.0,12.72
Mohit Sharma,30.0,60.6,,PG,Management,,India,65177.0,16546.0,0.254,735.0,767660.0,110374.0,156533.0,721501.0,12.0,0.0,0.0,0.0,12.316354679802958
Sarthak Verma,32.0,86.72,391.0,UG,Management,Tier1,India,59719.166666666664,5879.0,0.066,707.0,1105664.0,60088.0,18801.0,1146951.0,12.0,1.0,1.0,887018.0,12.27
Neha Yadav,31.0,88.24,582.0,UG,Management,Tier3,India,31979.0,11281.0,0.20041666666666666,718.0398550724638,446276.0,152798.0,4642.0,594432.0,15.0,3.0,1.0,,12.316354679802958
Ritika Kapoor,24.0,72.12,720.0,UG,Engineering,,India,20022.0,3424.0,0.171,656.0,996861.0,82520.0,117204.0,962177.0,10.0,2.0,1.0,729201.0,12.42
Ravi Reddy,30.0,76.26,345.0,UG,Other,Tier2,,49832.0,3234.0,0.065,668.0,1033241.0,293180.00724637683,216101.0,872746.0,10.0,2.0,1.0,601921.0,13.1
Shruti Gupta,24.0,82.74,568.0,PG,Arts,Tier3,India,57791.0,291.0,0.005,644.0,327780.0,,19021.0,448866.0,10.0,2.0,0.7457044673539519,366708.0,11.83
Meera Verma,32.0,61.68,417.0,UG,Arts,ForeignOther,UK,83034.0,11987.797101449276,0.224,668.0,1196632.384057971,1488131.0,461251.0,,12.0,2.0,1.0,761098.6884057971,12.316354679802958
Ritika Yadav,29.0,93.22,471.0,UG,Law,Tier1,India,95264.0,20097.0,0.211,724.0,1180278.0,191545.0,92001.0,1279822.0,15.0,3.0,1.0,761098.6884057971,11.63
Rohan Jain,34.0,91.03,537.0,UG,Law,Tier3,India,90362.0,26001.0,0.288,750.0,,128194.0,212250.0,714398.0,5.0,3.0,1.0,564872.0,12.09
Yash Yadav,31.0,69.13,478.0,UG,Law,Tier2,India,66914.0,23828.0,0.356,778.0,116944.0,213586.0,31424.0,299106.0,7.0,2.0,1.0,225044.0,12.48
Rahul Singh,29.0,60.54,624.0,PG,Other,ForeignTop,USA,79987.0,2541.0,0.032,611.0,1196632.384057971,831358.0,233462.0,3215589.0,5.0,1.0,0.0,0.0,12.316354679802958
Amit Yadav,,,540.0,UG,,Tier3,India,59719.166666666664,11987.797101449276,0.293,710.0,599841.0,,41388.0,612048.0,9.797101449275363,3.0,1.0,761098.6884057971,12.64
Kabir Reddy,31.0,77.54,592.0,UG,Other,Tier3,India,64210.0,4813.0,0.075,654.0,1196632.384057971,241088.0,172337.0,1324936.865942029,10.0,0.0,1.0,1148625.0,12.16
Yash Patel,29.0,78.88,668.0,UG,Management,Tier3,,30218.0,10373.0,0.343,708.0,420147.0,205936.0,30318.0,595765.0,7.0,1.0,0.0,0.0,12.316354679802958
Suresh Singh,17.0,83.94,579.0,PG,Engineering,ForeignTop,USA,61567.0,20171.0,0.20041666666666666,860.0,1781368.0,1422581.0,359329.0,2844620.0,12.0,3.0,1.0,2179876.0,12.34
Yash Sharma,23.0,77.8241304347826,593.0,PG,Law,Tier3,India,59719.166666666664,13458.0,0.216,738.0,410906.0,59735.0,101830.0,368811.0,12.0,1.644927536231884,1.0,283315.0,12.32
Sarthak Singh,24.963768115942027,93.04,582.0,UG,Management,Tier2,India,59719.166666666664,29277.0,0.284,774.0,550338.0,259280.0,167711.3152173913,698490.0,12.0,1.0,0.0,0.0,12.316354679802958
Ravi Khan,17.0,93.05,489.0,PG,Management,Tier3,India,54275.0,6825.0,0.126,838.0,1287259.0,204882.0,318346.0,1173795.0,7.0,1.0,1.0,893842.0,12.39
Shruti Gupta,28.0,90.35,469.0,UG,Engineering,ForeignTop,UK,62251.0,11732.0,0.188,788.0,4527923.0,374170.0,539265.0,4362828.0,7.0,3.0,1.0,3516060.0,11.94
Rohan Gupta,24.0,82.27,750.0,UG,Medical,Tier3,India,65924.0,21666.0,0.329,693.0,233559.0,206154.0,10953.0,428760.0,15.0,2.0,0.0,0.0,12.316354679802958
,27.0,88.03,604.0,Diploma,Arts,Tier1,India,59719.166666666664,8933.0,0.184,643.0,700183.0,266108.0,,811281.0,15.0,2.0,0.0,0.0,12.316354679802958
Aaditya Kapoor,33.0,83.7,422.0,UG,Other,ForeignTop,USA,39938.0,5716.0,0.143,718.0,5273213.0,293180.00724637683,570258.0,5717210.0,5.0,1.0,1.0,4166351.0,12.71
Yash Verma,24.963768115942027,80.07,549.0,UG,Medical,Tier3,India,92470.0,18280.0,0.198,686.0,1196632.384057971,195238.0,167711.3152173913,,7.0,1.644927536231884,1.0,622977.0,12.34
Neha Yadav,19.0,64.5,465.0,PG,Law,Tier3,India,35477.0,11754.0,0.331,718.0398550724638,1027408.0,297670.0,83419.0,1241659.0,7.0,2.0,,852081.0,13.14
Kunal Verma,19.0,88.39,552.3731884057971,UG,Management,Tier2,India,26802.0,3594.0,0.134,718.0398550724638,265904.0,239183.0,6480.0,498607.0,7.0,1.0,,0.0,12.316354679802958
Anjali Khan,17.0,88.72,304.0,PG,Engineering,Tier3,India,77007.0,5352.0,0.07,736.0,504439.0,160573.0,150209.0,514803.0,15.0,,1.0,395676.0,12.31
Ritika Khan,21.0,81.91,413.0,UG,Engineering,Tier2,India,88945.0,25332.0,0.285,826.0,656971.0,226849.0,30786.0,853034.0,12.0,1.0,1.0,761098.6884057971,12.22
Yash Singh,26.0,88.71,483.0,Diploma,Other,Tier3,India,48715.0,16095.0,0.33,698.0,,293180.00724637683,411384.0,1123267.0,9.797101449275363,3.0,0.0,0.0,12.316354679802958
Kabir Singh,23.0,82.8,544.0,UG,Medical,Tier1,India,49099.0,1976.0,0.04,718.0398550724638,,107219.0,437007.0,1160769.0,15.0,2.0,0.7457044673539519,960566.0,11.72
Sana Jain,25.0,67.23,725.0,PG,Other,Tier3,India,67064.0,6435.0,0.096,680.0,162876.0,,38788.0,,7.0,3.0,1.0,761098.6884057971,12.14
Neha Verma,23.0,69.59,344.0,,Management,ForeignOther,Austr,42304.0,2402.0,0.057,772.0,3846521.0,1204642.0,167711.3152173913,4290218.0,15.0,1.0,1.0,3321442.0,12.26
Yash Reddy,25.0,77.8241304347826,703.0,UG,Arts,Tier1,India,40457.0,5631.0,0.139,713.0,620414.0,282285.0,107544.0,795155.0,5.0,2.0,1.0,570312.0,12.83
,24.0,73.2,552.3731884057971,Diploma,Other,Tier3,,81990.0,14770.0,0.18,650.0,3170008.0,,823665.0,3731575.0,7.0,2.0,0.0,0.0,12.316354679802958
Aaditya Patel,28.0,61.36,721.0,UG,Engineering,Tier2,India,75178.0,22518.0,0.3,719.0,1196632.384057971,181919.0,100375.0,1237515.0,5.0,2.0,,918775.0,12.58
Suresh Jain,18.0,81.64,326.0,UG,Engineering,ForeignTop,UK,59719.166666666664,24165.0,0.26,718.0398550724638,4130020.0,1208458.0,579460.0,4759018.0,7.0,1.644927536231884,0.0,0.0,12.316354679802958
Mohit Gupta,17.0,71.78,309.0,UG,Law,Tier3,India,28685.0,7125.0,0.248,735.0,1431300.0,298908.0,265960.0,1464248.0,9.797101449275363,1.0,0.0,0.0,12.316354679802958
Ravi Patel,32.0,82.95,648.0,PG,Law,Tier3,India,47438.0,6686.0,0.141,783.0,907972.0,295279.0,112005.0,1091246.0,12.0,,1.0,901745.0,11.74
Sana Reddy,21.0,73.49,799.0,,Management,Tier3,India,59719.166666666664,22561.0,0.337,633.0,599970.0,212377.0,76944.0,735403.0,10.0,2.0,0.0,0.0,12.316354679802958
Yash Khan,19.0,83.86,748.0,UG,Other,ForeignTop,,36859.0,6948.0,0.20041666666666666,669.0,5529057.0,1096228.0,547849.0,6077436.0,5.0,2.0,1.0,4661984.0,12.33
Rahul Kapoor,28.0,71.92,588.0,PG,Medical,Tier2,India,76042.0,29781.0,0.20041666666666666,758.0,451402.0,228775.0,76409.0,603768.0,15.0,2.0,1.0,438460.0,12.74
Kunal Khan,24.0,69.12,759.0,,Arts,Tier2,India,90616.0,11987.797101449276,0.20041666666666666,676.0,889704.0,198290.0,227028.0,860966.0,12.0,1.0,1.0,679089.0,12.11
Kabir Kapoor,19.0,77.8241304347826,303.0,,Management,Tier3,India,45416.0,2294.0,0.051,734.0,602010.0,63337.0,36397.0,,15.0,2.0,0.0,0.0,12.316354679802958
Kabir Singh,17.0,84.25,788.0,PG,Law,Tier3,India,60965.0,16489.0,0.27,575.0,1196632.384057971,163691.0,285736.0,897239.0,5.0,1.0,1.0,683684.0,12.38
Kiran Sharma,19.0,72.19,545.0,UG,Arts,Tier3,India,96390.0,12535.0,,883.0,436558.0,218697.0,90248.0,565007.0,10.0,1.0,1.0,444321.0,12.14
Kiran Reddy,21.0,77.8241304347826,661.0,UG,,Tier3,India,104982.0,28821.0,0.275,704.0,368230.0,219383.0,90946.0,496667.0,15.0,2.0,1.0,395809.0,12.316354679802958
Vivek Verma,31.0,61.37,710.0,UG,Arts,Tier2,India,78645.0,2191.0,,792.0,1385535.0,143281.0,167711.3152173913,1297629.0,7.0,2.0,1.0,1061749.0,11.82
Rohan Yadav,24.963768115942027,74.63,659.0,,Other,Tier3,India,74836.0,11987.797101449276,0.07,700.0,242525.0,285423.0,56716.0,471232.0,12.0,,1.0,382659.0,11.88
,19.0,93.87,568.0,PG,Other,Tier1,India,38657.0,13232.0,0.342,745.0,808341.0,91839.0,3929.0,896251.0,9.797101449275363,1.0,1.0,618070.0,13.1
Ritika Verma,17.0,77.8241304347826,538.0,PG,Arts,Tier3,India,68980.0,6268.0,0.091,,409194.0,,167711.3152173913,483821.0,12.0,1.0,1.0,387844.0,11.98
Anjali Gupta,21.0,74.82,719.0,UG,Other,Tier1,India,73921.0,11987.797101449276,0.335,790.0,154502.0,222721.0,167711.3152173913,375363.0,7.0,1.0,1.0,761098.6884057971,11.95
Yash Sharma,30.0,79.9,552.3731884057971,UG,Engineering,Tier2,India,59719.166666666664,6115.0,0.112,718.0398550724638,150426.0,224284.0,40160.0,334550.0,10.0,2.0,1.0,259795.0,12.316354679802958
Mohit Singh,23.0,80.16,784.0,UG,Other,Tier2,India,45131.0,11606.0,0.257,712.0,345310.0,212160.0,167711.3152173913,454710.0,10.0,3.0,0.0,0.0,12.316354679802958
Kiran Yadav,25.0,85.61,655.0,,Other,Tier2,India,27968.0,,0.278,780.0,1313478.0,118822.0,115875.0,1316425.0,7.0,1.0,1.0,,
Neha Sharma,31.0,64.47,400.0,Diploma,Engineering,Tier3,India,16557.0,3395.0,0.205,860.0,495470.0,89052.0,31262.0,553260.0,12.0,,0.0,0.0,12.316354679802958
Neha Yadav,24.963768115942027,68.75,668.0,UG,Other,Tier2,India,11303.0,1380.0,0.122,718.0398550724638,1430643.0,208985.0,328489.0,1311139.0,15.0,3.0,0.0,0.0,12.316354679802958
Sana Gupta,26.0,80.32,565.0,UG,Arts,Tier2,India,74486.0,6336.0,0.085,837.0,914271.0,199826.0,69400.0,1324936.865942029,7.0,2.0,1.0,847534.0,11.89
Anjali Patel,24.963768115942027,90.35,654.0,UG,Other,Tier2,India,63692.0,846.0,0.013,706.0,711260.0,94839.0,184692.0,621407.0,5.0,1.0,1.0,519279.0,11.64
Kabir Gupta,23.0,79.67,684.0,PG,Arts,Tier2,India,47905.0,5824.0,0.122,777.0,912124.0,226285.0,28142.0,1110267.0,12.0,3.0,1.0,926120.0,11.66
Neha Yadav,33.0,68.35,552.3731884057971,Diploma,Engineering,Tier2,India,51714.0,,0.261,786.0,823378.0,163793.0,31113.0,956058.0,10.0,1.0,1.0,725234.0,12.41
Kiran Yadav,20.0,83.79,553.0,PG,,Tier1,India,65262.0,24494.0,0.375,695.0,1162287.0,216940.0,341417.0,1037810.0,7.0,1.0,0.0,0.0,12.316354679802958
Rohan Reddy,21.0,85.9,766.0,PG,Engineering,Tier3,India,55886.0,19475.0,0.348,675.0,495494.0,,100165.0,654671.0,10.0,1.0,1.0,510830.0,12.2
Rahul Gupta,23.0,68.34,460.0,PG,Arts,Tier3,India,26486.0,8116.0,0.306,789.0,594271.0,92432.0,150984.0,,12.0,2.0,1.0,378427.0,12.94
Neha Kapoor,29.0,73.22,597.0,UG,Other,Tier3,India,82825.0,26121.0,0.315,688.0,1351732.0,293180.00724637683,131522.0,1274996.0,10.0,1.0,,977065.0,12.34
Kunal Reddy,31.0,78.7,485.0,Diploma,Other,Tier2,India,67603.0,17982.0,0.266,666.0,1425039.0,244776.0,289205.0,1380610.0,7.0,1.0,1.0,1100503.0,12.03
Rohan Gupta,27.0,77.38,527.0,PG,Law,Tier2,India,,6939.0,0.104,679.0,1349582.0,202424.0,240593.0,1311413.0,12.0,1.644927536231884,1.0,969430.0,12.61
Neha Yadav,24.963768115942027,73.64,552.3731884057971,UG,Law,ForeignTop,UK,80939.0,29371.0,0.363,,2222082.0,1179600.0,402075.0,2999607.0,5.0,2.0,1.0,2430749.0,11.9
Ravi Kapoor,29.0,70.42,574.0,PG,Other,Tier3,India,39659.0,10640.0,0.268,771.0,1192512.0,259539.0,244178.0,1207873.0,7.0,3.0,,761098.6884057971,12.6
Yash Reddy,23.0,63.5,401.0,UG,Management,Tier2,India,59719.166666666664,20253.0,0.224,751.0,766870.0,293180.00724637683,132368.0,885205.0,15.0,1.0,1.0,717248.0,11.9
Rohan Sharma,18.0,61.87,642.0,,Law,Tier1,India,56499.0,2508.0,0.044,763.0,796556.0,290230.0,102532.0,984254.0,7.0,3.0,1.0,729387.0,12.316354679802958
Rohan Khan,26.0,93.55,344.0,UG,Engineering,Tier2,India,82215.0,14702.0,0.179,745.0,1196632.384057971,183984.0,31998.0,538538.0,12.0,3.0,1.0,432744.0,11.96
Neha Singh,29.0,89.65,369.0,UG,Law,Tier2,India,78361.0,14430.0,0.184,684.0,,172124.0,213877.0,885829.0,7.0,2.0,1.0,658899.0,12.56
Mohit Verma,22.0,72.42,301.0,PG,Other,Tier2,India,34030.0,11768.0,0.346,762.0,360590.0,150472.0,24477.0,486585.0,5.0,1.0,0.0,0.0,12.316354679802958
Suresh Jain,28.0,93.49,358.0,PG,Other,Tier3,India,,15869.0,0.219,,564191.0,88423.0,117186.0,535428.0,5.0,1.644927536231884,1.0,424494.0,12.07
Yash Jain,28.0,83.69,537.0,UG,Medical,Tier3,India,68157.0,10371.0,0.152,755.0,1297042.0,193152.0,90793.0,,9.797101449275363,3.0,1.0,,11.79
Rohan Singh,27.0,76.89,603.0,PG,Other,Tier3,India,60758.0,23739.0,0.391,718.0398550724638,389906.0,293180.00724637683,73146.0,436013.0,10.0,2.0,1.0,320840.0,12.64
Suresh Kapoor,23.0,77.26,697.0,UG,Other,Tier3,India,57641.0,2553.0,0.044,674.0,199622.0,280327.0,44740.0,435209.0,12.0,1.0,0.0,0.0,12.316354679802958
Yash Jain,17.0,62.91,353.0,PG,Management,Tier3,,57853.0,9778.0,0.169,733.0,196611.0,195798.0,12900.0,379509.0,12.0,2.0,0.0,0.0,12.316354679802958
Ritika Khan,24.963768115942027,63.21,725.0,Diploma,Law,Tier3,India,80317.0,11987.797101449276,0.017,718.0398550724638,1417098.0,198210.0,167711.3152173913,1589824.0,,2.0,1.0,1261033.0,12.07
,29.0,81.09,,PG,Engineering,ForeignOther,Austr,74448.0,22034.0,0.296,719.0,3105987.0,992229.0,122041.0,3976175.0,5.0,2.0,1.0,3196173.0,11.96
Vivek Verma,25.0,79.38,504.0,UG,Engineering,Tier1,India,60762.0,22314.0,0.367,622.0,673177.0,62997.0,122383.0,613791.0,9.797101449275363,1.0,1.0,461389.0,12.48
,,67.45,766.0,UG,Arts,Tier2,India,22702.0,2543.0,0.112,622.0,,57936.0,314779.0,978387.0,7.0,1.0,1.0,711326.0,12.73
Kabir Kapoor,23.0,93.12,795.0,UG,Other,Tier1,India,72361.0,24844.0,0.343,709.0,1270156.0,155834.0,17146.0,1408844.0,15.0,2.0,1.0,1210042.0,11.41
Suresh Yadav,24.963768115942027,87.35,403.0,,Engineering,Tier3,India,78090.0,9128.0,0.117,687.0,565067.0,71141.0,124453.0,511755.0,,3.0,0.0,0.0,12.316354679802958
Sarthak Patel,24.0,77.8241304347826,490.0,UG,Management,ForeignTop,UK,117510.0,11987.797101449276,,726.0,5612048.0,380681.0,167711.3152173913,5418080.0,15.0,1.0,1.0,,12.23
Sarthak Patel,25.0,92.58,763.0,UG,Other,Tier2,India,86886.0,26203.0,0.302,712.0,1179572.0,270243.0,169338.0,1280477.0,9.797101449275363,,1.0,984689.0,12.31
,21.0,94.1,661.0,,Other,ForeignTop,UK,12521.0,4031.0,0.322,722.0,2970341.0,1186640.0,827709.0,3329272.0,15.0,1.0,0.0,0.0,12.316354679802958
Anjali Verma,17.0,94.86,324.0,PG,Engineering,Tier1,India,61961.0,446.0,,757.0,312233.0,214761.0,31096.0,495898.0,10.0,2.0,0.0,0.0,12.316354679802958
Anjali Singh,26.0,61.96,691.0,PG,Engineering,ForeignTop,USA,,40547.0,0.385,692.0,,1090461.0,527043.0,4338772.0,7.0,2.0,1.0,3538146.0,11.85
