name,age,city_tier,employment_type,monthly_income,co_applicant_income,existing_emi,dti,cibil_score,property_value,down_payment,loan_amount_requested,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,job_tenure_months,loan_status,approved_amount,interest_rate
Shruti Sharma,44.0,Metro,Salaried,24739.0,26798.0,7965.0,0.322,832.0,2926996.0,972905.0,1954091.0,0.668,23.0,B,0.0,10.0,,0.0,,
Vivek Yadav,45.0,Metro,Salaried,66482.0,,,0.121,769.0,10231563.0,2999600.0,7231963.0,0.707,19.0,B,,30.0,60.0,1.0,5575967.0,12.41
Kunal Jain,35.0,Rural,Salaried,52298.0,52130.0,6351.0,0.121,722.0,5878755.0,1523130.0,4355625.0,0.741,36.0,A,0.0,30.0,191.0,1.0,3495477.0,12.2
Anjali Sharma,21.0,Metro,Self-Employed,46462.0,42865.0,11993.0,,770.0,6412585.0,721963.0,5690622.0,0.887,19.0,A,0.0,25.0,40.0,1.0,4544363.0,12.68
Amit Reddy,32.0,Urban,Salaried,72234.0,27601.0,11433.0,0.158,,,2670757.0,4167752.0,0.609,11.0,A,0.0,25.0,14.0,1.0,3153496.0,12.26
Aaditya Gupta,45.0,Metro,Salaried,80620.0,29715.0,6338.0,0.079,,16257492.0,5521276.0,10736216.0,0.66,32.0,A,,20.0,28.0,0.0,0.0,
Priya Singh,36.0,Urban,,78626.0,14962.0,12451.0,0.158,765.0,11244064.0,2112159.0,9131905.0,0.812,27.0,B,0.0,30.0,43.0,1.0,7082466.0,12.68
Sana Sharma,29.0,Rural,Salaried,43216.0,29722.0,2131.0,0.049,,6914846.0,2724388.0,4190458.0,0.606,7.0,A,0.0,20.0,4.0,1.0,3212875.0,12.15
,32.0,Metro,Govt,53816.0,25670.0,,0.062,798.0,12596342.0,,,0.719,0.0,A,0.0,25.0,47.0,1.0,7136663.0,
Yash Gupta,42.0,Metro,Govt,66625.0,34841.0,11621.0,,809.0,14606863.0,4012897.0,10593966.0,0.725,36.0,A,0.0,30.0,191.0,1.0,8569701.0,12.09
Sarthak Jain,40.0,Metro,Salaried,79511.0,17592.0,11658.0,0.147,772.0,6179856.0,2004881.0,4174975.0,0.676,,C,0.0,30.0,10.0,0.0,0.0,
Rohan Kapoor,34.0,Metro,Self-Employed,50417.0,37790.0,,0.32,732.0,8857433.0,3042802.0,5814631.0,0.656,5.0,C,0.0,25.0,76.0,,0.0,
Ravi Jain,33.0,Urban,Self-Employed,56287.0,52991.0,7139.0,0.127,747.0,,984616.0,2331220.0,,20.0,B,0.0,20.0,114.0,1.0,,
Shruti Patel,33.0,Rural,Salaried,37873.0,28369.0,7696.0,0.203,800.0,4441838.0,614878.0,3826960.0,0.862,31.0,C,0.0,30.0,138.0,0.0,,
Mohit Gupta,30.0,Metro,Govt,36076.0,36026.0,7983.0,0.221,699.0,13941239.0,2808884.0,11132355.0,0.799,34.0,B,0.0,25.0,155.0,1.0,8512076.0,12.75
Vivek Khan,47.0,Metro,Salaried,76251.0,40352.0,349.0,0.005,758.0,4447329.0,1682981.0,2764348.0,0.622,14.0,B,0.0,30.0,35.0,0.0,0.0,
Ravi Verma,34.0,Metro,Salaried,1370550.0,,20234.0,0.232,720.0,99686200.0,1837566.0,70368000.0,,4.0,A,0.0,25.0,182.0,1.0,7197987.0,12.62
Kunal Gupta,45.0,Urban,Govt,58560.0,33361.0,,0.062,,,3062975.0,11408904.0,0.788,5.0,B,0.0,,68.0,1.0,,12.91
Priya Khan,47.0,Metro,Salaried,,30189.0,26934.0,0.336,804.0,3030662.0,695910.0,2334752.0,,24.0,B,,20.0,8.0,1.0,1758136.0,12.78
Aaditya Khan,43.0,Urban,Self-Employed,67233.0,31465.0,3498.0,0.052,750.0,11778932.0,2730610.0,9048322.0,0.768,39.0,B,0.0,20.0,31.0,1.0,7226653.0,12.32
Suresh Patel,33.0,Urban,Govt,47098.0,18405.0,6835.0,0.145,742.0,5874693.0,,4206974.0,0.716,28.0,B,0.0,25.0,61.0,0.0,0.0,
Kiran Gupta,39.0,,Salaried,67228.0,30368.0,2008.0,0.03,,19295611.0,7388728.0,11906883.0,0.617,6.0,B,0.0,20.0,,1.0,9521122.0,11.85
Ritika Kapoor,,Metro,Govt,90761.0,37470.0,31667.0,0.349,,10187367.0,1754344.0,8433023.0,0.828,39.0,,0.0,20.0,49.0,1.0,6847143.0,12.36
Kiran Gupta,30.0,Urban,Salaried,59283.0,51767.0,10420.0,0.176,772.0,16313858.0,2226033.0,14087825.0,0.864,12.0,C,0.0,20.0,53.0,1.0,10988813.0,12.79
Mohit Kapoor,38.0,Metro,Salaried,91293.0,44389.0,19024.0,0.208,848.0,11454304.0,1823997.0,9630307.0,0.841,37.0,A,0.0,25.0,9.0,1.0,7870435.0,12.35
Ritika Khan,28.0,Metro,Self-Employed,10000.0,62298.0,,0.024,725.0,1824838.0,668032.0,1156806.0,0.634,17.0,B,0.0,20.0,40.0,0.0,0.0,
Meera Khan,44.0,Rural,Govt,76438.0,18490.0,20064.0,0.262,,13029876.0,3827438.0,9202438.0,0.706,1.0,A,0.0,10.0,71.0,1.0,7188664.0,12.31
Sarthak Gupta,33.0,Urban,Salaried,61741.0,43085.0,4536.0,0.073,752.0,19076664.0,3543911.0,15532753.0,0.814,,B,0.0,15.0,33.0,1.0,12262270.0,12.55
Kabir Yadav,,Metro,Salaried,54020.0,32750.0,16980.0,0.314,819.0,12430625.0,4285882.0,8144743.0,,10.0,,0.0,10.0,,0.0,0.0,
,38.0,Metro,Self-Employed,61835.0,62847.0,4440.0,0.072,735.0,16564588.0,5936931.0,,0.642,32.0,A,0.0,20.0,1.0,1.0,8387151.0,12.03
Rohan Jain,34.0,Metro,,20249.0,17876.0,1351.0,0.067,754.0,17799923.0,6300359.0,,0.646,37.0,B,0.0,15.0,21.0,0.0,0.0,
Rahul Jain,40.0,Metro,Self-Employed,55607.0,17404.0,711.0,0.013,770.0,5333516.0,2003684.0,3329832.0,0.624,26.0,A,0.0,15.0,125.0,0.0,0.0,
Amit Kapoor,33.0,Metro,Salaried,67142.0,21009.0,11093.0,0.165,749.0,5028852.0,883430.0,4145422.0,0.824,19.0,B,0.0,30.0,12.0,1.0,,13.2
Neha Yadav,42.0,Metro,Salaried,89558.0,,17705.0,0.198,718.0,12608639.0,4116879.0,8491760.0,0.673,,A,0.0,,48.0,0.0,0.0,
Ritika Sharma,27.0,Metro,Salaried,,22114.0,1142.0,0.023,750.0,8809541.0,2098097.0,,0.762,30.0,B,0.0,20.0,12.0,,5080867.0,12.72
Anjali Patel,37.0,Urban,Self-Employed,43830.0,,11897.0,0.271,794.0,16957365.0,5979160.0,10978205.0,0.647,26.0,A,0.0,30.0,19.0,1.0,,12.48
Meera Singh,50.0,Urban,Salaried,49965.0,32256.0,7927.0,0.159,689.0,18100439.0,5765844.0,12334595.0,0.681,31.0,,0.0,10.0,90.0,1.0,9045887.0,12.71
Yash Kapoor,29.0,,Salaried,78308.0,35126.0,14372.0,0.184,747.0,7715006.0,2568590.0,5146416.0,0.667,9.0,A,0.0,25.0,63.0,1.0,4105454.0,12.02
Meera Yadav,31.0,Metro,,66575.0,58143.0,,0.154,705.0,5500541.0,1632828.0,3867713.0,0.703,2.0,C,0.0,25.0,5.0,0.0,0.0,
Meera Singh,40.0,Rural,Salaried,49405.0,44256.0,6930.0,0.14,800.0,15829985.0,2425607.0,13404378.0,,26.0,C,0.0,20.0,27.0,0.0,0.0,
Ritika Khan,37.0,Urban,Govt,70265.0,21346.0,13763.0,0.196,,6221315.0,1639367.0,,0.736,34.0,C,0.0,20.0,,0.0,0.0,
Amit Kapoor,38.0,Urban,Self-Employed,,16524.0,3366.0,0.054,712.0,16629672.0,6575388.0,10054284.0,0.605,30.0,B,0.0,,31.0,0.0,0.0,
Aaditya Kapoor,39.0,Urban,Self-Employed,79373.0,37379.0,,0.064,759.0,9051027.0,3450400.0,5600627.0,0.619,14.0,B,0.0,20.0,52.0,0.0,0.0,
Kunal Sharma,40.0,Rural,Salaried,,10197.0,13862.0,,,13683448.0,1545574.0,12137874.0,0.887,15.0,A,0.0,25.0,6.0,0.0,0.0,
Yash Kapoor,44.0,Urban,Salaried,1370550.0,57472.0,17698.0,,737.0,99686200.0,,70368000.0,0.851,12.0,A,0.0,15.0,16.0,1.0,1783376.0,13.11
Yash Kapoor,39.0,Metro,Self-Employed,52158.0,47692.0,6815.0,0.131,712.0,12853327.0,,11060048.0,0.86,34.0,A,0.0,15.0,24.0,1.0,8342723.0,13.04
Mohit Khan,34.0,Urban,Self-Employed,30730.0,22962.0,2912.0,,834.0,,,6537980.0,0.682,10.0,B,0.0,15.0,121.0,1.0,4945642.0,12.48
Ravi Sharma,41.0,,Self-Employed,65922.0,4303.0,14859.0,0.225,668.0,12145561.0,4194295.0,7951266.0,0.655,20.0,C,0.0,15.0,240.0,0.0,0.0,
Vivek Singh,49.0,Urban,Salaried,65221.0,50308.0,9330.0,0.143,630.0,4192270.0,687756.0,3504514.0,,10.0,A,0.0,20.0,2.0,1.0,2632902.0,13.0
Amit Jain,35.0,Urban,Self-Employed,60102.0,28282.0,534.0,0.009,762.0,15000601.0,3776488.0,11224113.0,0.748,29.0,C,0.0,15.0,69.0,1.0,9310207.0,11.95
Aaditya Sharma,29.0,,Self-Employed,55308.0,48567.0,3023.0,0.055,715.0,17393144.0,6126055.0,11267089.0,0.648,34.0,B,0.0,30.0,22.0,1.0,8503061.0,
Sarthak Yadav,44.0,Metro,Self-Employed,31693.0,6084.0,7942.0,,689.0,5118056.0,1636961.0,3481095.0,0.68,21.0,,0.0,15.0,24.0,0.0,0.0,
Sarthak Gupta,,Rural,Self-Employed,51587.0,,11897.0,0.231,775.0,,740359.0,2078218.0,0.737,37.0,A,0.0,15.0,67.0,1.0,1630267.0,12.37
Amit Gupta,21.0,Urban,Self-Employed,53146.0,,504.0,0.009,752.0,1449133.0,401561.0,1047572.0,0.723,30.0,A,0.0,,120.0,1.0,802397.0,12.51
Ravi Reddy,42.0,,Self-Employed,43954.0,30705.0,3415.0,0.078,712.0,13197459.0,3332466.0,9864993.0,0.747,13.0,,0.0,10.0,145.0,0.0,0.0,
Priya Reddy,32.0,Metro,Salaried,56774.0,23249.0,4592.0,0.081,676.0,,2372391.0,10162396.0,0.811,23.0,,0.0,25.0,41.0,1.0,,12.71
Suresh Yadav,35.0,Metro,,68081.0,39343.0,16010.0,0.235,,11387251.0,3068939.0,,0.73,31.0,A,0.0,25.0,21.0,0.0,0.0,
Rohan Patel,38.0,Rural,Salaried,97724.0,13986.0,674.0,0.007,773.0,5406995.0,1658139.0,3748856.0,0.693,35.0,,0.0,15.0,74.0,1.0,3119182.0,11.76
Mohit Sharma,37.0,Urban,Salaried,63492.0,27864.0,2314.0,0.036,735.0,8427214.0,3050625.0,5376589.0,0.638,31.0,C,0.0,10.0,14.0,1.0,4206968.0,12.09
Neha Gupta,41.0,Urban,Salaried,65151.0,31804.0,18240.0,0.28,832.0,12295050.0,3576475.0,8718575.0,0.709,14.0,B,0.0,20.0,40.0,1.0,6881548.0,12.23
,,Metro,Salaried,58511.0,,3656.0,,686.0,10438570.0,3427363.0,,0.672,34.0,C,0.0,10.0,21.0,1.0,5467943.0,12.22
Ravi Kapoor,40.0,Urban,Salaried,21625.0,40674.0,4940.0,0.228,664.0,19767925.0,2926078.0,16841847.0,0.852,2.0,A,,15.0,51.0,1.0,11640270.0,13.64
Yash Gupta,,Metro,Salaried,59470.0,,4958.0,0.083,705.0,3592355.0,856659.0,2735696.0,0.762,15.0,A,0.0,15.0,13.0,1.0,2125940.0,12.51
Aaditya Verma,41.0,Urban,Self-Employed,61205.0,6988.0,2130.0,0.035,738.0,14207747.0,1460549.0,12747198.0,0.897,4.0,B,0.0,15.0,10.0,1.0,9427247.0,13.3
,40.0,Metro,,109265.0,49165.0,9300.0,0.085,752.0,,1510710.0,7171347.0,0.826,20.0,A,0.0,20.0,120.0,1.0,5998903.0,12.11
Rahul Patel,29.0,Metro,Salaried,56153.0,34985.0,14195.0,0.253,728.0,9135793.0,2904620.0,6231173.0,0.682,9.0,A,0.0,25.0,5.0,1.0,4890753.0,12.2
Rahul Yadav,44.0,Urban,Govt,66031.0,18773.0,19776.0,0.299,758.0,14634358.0,5817786.0,8816572.0,0.602,18.0,A,0.0,20.0,34.0,1.0,6986545.0,11.88
Anjali Gupta,32.0,Rural,Salaried,59306.0,53267.0,17233.0,0.291,677.0,14156287.0,1836827.0,12319460.0,0.87,24.0,A,0.0,15.0,12.0,0.0,0.0,
Shruti Sharma,42.0,Metro,Salaried,36626.0,31735.0,5092.0,0.139,812.0,19833864.0,4372341.0,15461523.0,0.78,,A,0.0,15.0,2.0,1.0,11898843.0,12.64
Ravi Patel,39.0,Urban,Salaried,82856.0,47689.0,19374.0,0.234,736.0,3439491.0,1169500.0,2269991.0,0.66,28.0,A,0.0,30.0,2.0,0.0,0.0,
Shruti Gupta,49.0,Metro,Salaried,75039.0,31013.0,5384.0,0.072,796.0,2978083.0,480099.0,2497984.0,0.839,18.0,A,0.0,20.0,,1.0,2137203.0,11.96
Vivek Jain,,Metro,,,60911.0,7779.0,0.103,757.0,14762438.0,3934566.0,,0.733,1.0,A,0.0,30.0,97.0,1.0,8953462.0,11.93
Sana Jain,34.0,Metro,Self-Employed,41812.0,,13117.0,0.314,763.0,11989351.0,3835650.0,8153701.0,0.68,9.0,B,0.0,20.0,16.0,0.0,,
Kiran Gupta,36.0,Metro,Salaried,,26266.0,401.0,0.005,,6209053.0,1768311.0,4440742.0,0.715,,B,0.0,25.0,144.0,1.0,3626370.0,11.98
Sarthak Verma,34.0,Urban,Salaried,31963.0,44574.0,957.0,0.03,762.0,2508968.0,392421.0,2116547.0,0.844,19.0,B,0.0,20.0,42.0,1.0,1628966.0,
Aaditya Singh,42.0,Metro,Salaried,,39681.0,5220.0,0.073,772.0,2627507.0,542883.0,2084624.0,,18.0,A,0.0,20.0,28.0,1.0,1675563.0,12.34
Yash Yadav,25.0,Metro,Salaried,,50529.0,964.0,0.009,806.0,17989627.0,6028999.0,11960628.0,0.665,22.0,A,0.0,20.0,42.0,1.0,10084099.0,11.56
Ritika Verma,29.0,Rural,Salaried,40189.0,,2552.0,0.063,750.0,4645479.0,1236942.0,3408537.0,0.734,23.0,B,0.0,20.0,35.0,1.0,2514600.0,12.82
Sarthak Khan,29.0,Metro,Salaried,48674.0,40291.0,,0.204,775.0,7144060.0,725614.0,6418446.0,0.898,10.0,B,0.0,15.0,,1.0,4818317.0,13.19
Rahul Yadav,43.0,Urban,Self-Employed,61993.0,45876.0,,0.148,736.0,5306472.0,1742100.0,3564372.0,0.672,33.0,B,,,16.0,1.0,2675383.0,12.51
Suresh Kapoor,48.0,Metro,Govt,49930.0,3619.0,15600.0,0.312,812.0,7744930.0,856538.0,,0.889,,A,0.0,25.0,21.0,1.0,5144851.0,13.2
Shruti Singh,35.0,Urban,Salaried,28987.0,12251.0,8293.0,0.286,706.0,2319053.0,750724.0,1568329.0,0.676,4.0,C,0.0,30.0,108.0,1.0,1076844.0,13.16
Sarthak Reddy,35.0,Metro,Govt,61371.0,0.0,7342.0,0.12,830.0,10862136.0,1746025.0,9116111.0,0.839,4.0,A,0.0,20.0,141.0,0.0,0.0,
Kabir Kapoor,,Metro,Salaried,38754.0,25959.0,3519.0,0.091,738.0,,885120.0,,0.613,20.0,,0.0,20.0,107.0,0.0,0.0,
Aaditya Gupta,44.0,Metro,Salaried,69472.0,40763.0,9232.0,0.133,668.0,16206774.0,3409617.0,12797157.0,0.79,11.0,B,0.0,15.0,26.0,0.0,0.0,
Ritika Reddy,30.0,Metro,Salaried,41612.0,52535.0,8597.0,0.207,746.0,5440530.0,1077657.0,4362873.0,0.802,3.0,B,0.0,,73.0,1.0,3319225.0,12.8
Amit Sharma,38.0,Metro,Self-Employed,90999.0,31111.0,8538.0,0.094,706.0,11260226.0,1628977.0,9631249.0,,19.0,A,0.0,20.0,31.0,0.0,0.0,
Suresh Verma,43.0,Urban,Govt,44335.0,54429.0,9685.0,0.218,782.0,17721503.0,3396880.0,14324623.0,0.808,37.0,A,0.0,30.0,33.0,0.0,0.0,
Rahul Verma,,Rural,Self-Employed,53559.0,9298.0,7675.0,0.143,707.0,13366670.0,4852037.0,8514633.0,0.637,24.0,B,1.0,20.0,11.0,0.0,0.0,
Meera Khan,37.0,,Salaried,76270.0,4449.0,14737.0,0.193,718.0,,4438244.0,6687954.0,0.601,13.0,,0.0,20.0,43.0,1.0,5189820.0,12.04
Kunal Singh,43.0,Urban,Self-Employed,,29167.0,5401.0,0.153,646.0,7162341.0,1507622.0,5654719.0,0.79,10.0,A,0.0,,10.0,0.0,0.0,
Rahul Kapoor,21.0,Metro,Salaried,64549.0,,6653.0,0.103,717.0,7327036.0,1718799.0,5608237.0,0.765,31.0,A,0.0,25.0,19.0,1.0,4326845.0,
Shruti Jain,41.0,Metro,Govt,86143.0,29510.0,28596.0,0.332,619.0,13720252.0,4344124.0,9376128.0,0.683,10.0,B,0.0,20.0,93.0,1.0,7043960.0,12.54
Suresh Yadav,31.0,Metro,Salaried,27850.0,0.0,7443.0,0.267,661.0,19888648.0,7276436.0,12612212.0,0.634,17.0,A,0.0,20.0,11.0,1.0,8802942.0,12.92
Rohan Verma,23.0,Metro,Salaried,63693.0,28663.0,3123.0,0.049,778.0,13574945.0,3772658.0,9802287.0,0.722,26.0,C,0.0,30.0,4.0,1.0,7538792.0,12.48
Ravi Patel,40.0,Urban,Salaried,1370550.0,10433.0,19818.0,0.304,779.0,99686200.0,2522050.0,70368000.0,0.783,17.0,B,0.0,10.0,3.0,0.0,0.0,
Kunal Khan,46.0,Urban,Self-Employed,75636.0,40045.0,12904.0,0.171,,14882360.0,3330472.0,11551888.0,0.776,22.0,C,0.0,30.0,136.0,1.0,9457493.0,12.14
Ravi Sharma,35.0,Metro,,35261.0,35499.0,11040.0,0.313,692.0,9838907.0,3037127.0,6801780.0,0.691,10.0,C,0.0,15.0,34.0,1.0,5041009.0,12.66
Amit Sharma,,Metro,Self-Employed,33591.0,15902.0,9404.0,0.28,738.0,2142705.0,216339.0,1926366.0,0.899,20.0,A,0.0,25.0,25.0,1.0,1346003.0,13.71
,47.0,Urban,Salaried,70439.0,,10483.0,0.149,740.0,11683640.0,3340082.0,8343558.0,0.714,4.0,A,,25.0,80.0,1.0,6536504.0,12.31
Vivek Singh,45.0,Urban,Self-Employed,65940.0,14112.0,519.0,0.008,682.0,,3966582.0,,0.793,22.0,A,0.0,20.0,87.0,1.0,11923675.0,12.55
Yash Yadav,47.0,Metro,Self-Employed,65010.0,29060.0,6113.0,,815.0,4330756.0,1464918.0,2865838.0,0.662,24.0,A,0.0,30.0,19.0,1.0,2185420.0,12.36
